race_id,race_name,date,surface,distance_m,direction,weather,track_condition,finish_position,waku,horse_number,horse_name,horse_id,sex_age,weight_carried,jockey,jockey_id,time,margin,ﾀｲﾑ指数タイム指数(通常)タイム指数マスター,ﾀｲﾑ指数Mタイム指数(通常)タイム指数マスター,ｽﾀｰﾄ指数,追走指数,上がり指数,passing_order,last_3f,win_odds,popularity,horse_weight,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,trainer,trainer_id,owner,prize_money
202610020508,3歳以上1勝クラス,2026-07-11,,,,晴,,1,8,10,マヴィ,2023104352,牝3,53,Ｍ．デム,result,1:46.7,,**,**,**,**,**,6-6-5-5,36.9,7.9,6,478(-10),,,,[西]牧浦充徳,result,フォレストレーシング,820.0
202610020508,3歳以上1勝クラス,2026-07-11,,,,晴,,2,7,8,アンリーベイビー,2021103723,牝5,56,松山弘平,result,1:46.8,3/4,**,**,**,**,**,3-5-5-5,37.1,7.3,5,440(+8),,,,[西]茶木太樹,result,三木正浩,330.0
202610020508,3歳以上1勝クラス,2026-07-11,,,,晴,,3,4,4,オヤツノジカン,2023107477,牝3,53,幸英明,result,1:47.3,3,**,**,**,**,**,3-3-3-3,37.9,5.1,2,428(-2),,,,[西]高橋義忠,result,小田切光,210.0
202610020508,3歳以上1勝クラス,2026-07-11,,,,晴,,4,1,1,オブシディアーナ,2022102994,牝4,54,田山旺佑,result,1:47.4,1/2,**,**,**,**,**,1-1-1-1,38.1,17.0,7,476(0),,,,[西]池添学,result,ＤＭＭドリームクラブ,120.0
202610020508,3歳以上1勝クラス,2026-07-11,,,,晴,,5,3,3,ジョアン,2023107211,牝3,53,団野大成,result,1:47.4,ハナ,**,**,**,**,**,2-2-2-2,38.1,3.0,1,454(-6),,,,[西]中村直也,result,林正道,41.0
202610020508,3歳以上1勝クラス,2026-07-11,,,,晴,,5,5,5,エイコーンドリーム,2023104858,牝3,53,鮫島良太,result,1:47.4,同着,**,**,**,**,**,6-6-5-5,37.7,6.3,4,456(-6),,,,[西]河嶋宏樹,result,ローレルレーシング,41.0
202610020508,3歳以上1勝クラス,2026-07-11,,,,晴,,7,8,11,シエーナカラー,2023103169,牝3,53,酒井学,result,1:47.6,1.1/4,**,**,**,**,**,9-9-8-8,37.5,6.1,3,494(+2),,,,[西]北出成人,result,フジワラ・ファーム,
202610020508,3歳以上1勝クラス,2026-07-11,,,,晴,,8,6,7,ラグナトーレ,2022106185,牝4,56,中井裕二,result,1:47.7,1/2,**,**,**,**,**,9-9-9-8,37.4,61.4,9,448(-14),,,,[西]角田晃一,result,ヒダカ・ブリーダーズ・ユニオン,
202610020508,3歳以上1勝クラス,2026-07-11,,,,晴,,9,7,9,ベルメサイア,2021103776,牝5,56,吉村誠之,result,1:47.8,3/4,**,**,**,**,**,3-3-3-3,38.3,18.3,8,514(-4),,,,[西]西村真幸,result,宮崎俊也,
202610020508,3歳以上1勝クラス,2026-07-11,,,,晴,,10,2,2,フェミナンジェンヌ,2023105023,牝3,50,川端海翼,result,1:50.3,大,**,**,**,**,**,9-9-11-10,39.3,185.4,11,452(-2),,,,[西]高橋一哉,result,吉田智,
202610020508,3歳以上1勝クラス,2026-07-11,,,,晴,,11,6,6,オーケーエンジェル,2022104553,牝4,56,富田暁,result,1:51.0,4,**,**,**,**,**,8-8-10-11,40.1,134.4,10,454(0),,,,[西]笹田和秀,result,小野建,
