race_id,race_name,date,surface,distance_m,direction,weather,track_condition,finish_position,waku,horse_number,horse_name,horse_id,sex_age,weight_carried,jockey,jockey_id,time,margin,ﾀｲﾑ指数タイム指数(通常)タイム指数マスター,ﾀｲﾑ指数Mタイム指数(通常)タイム指数マスター,ｽﾀｰﾄ指数,追走指数,上がり指数,passing_order,last_3f,win_odds,popularity,horse_weight,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,trainer,trainer_id,owner,prize_money
202602010907,3歳以上1勝クラス,2026-07-11,,,,曇,,1,3,4,ナイスプレーアスク,2023105420,牝3,53,横山和生,result,1:48.2,,**,**,**,**,**,1-1-1-1,34.8,5.8,3,438(+6),,,,[東]中舘英二,result,廣崎利洋ＨＤ,820.0
202602010907,3歳以上1勝クラス,2026-07-11,,,,曇,,2,4,6,アイドクレース,2023104487,牝3,53,横山武史,result,1:48.3,3/4,**,**,**,**,**,4-5-5-3,34.5,7.7,5,420(+2),,,,[東]金成貴史,result,サラブレッドクラブ・ラフィアン,330.0
202602010907,3歳以上1勝クラス,2026-07-11,,,,曇,,3,1,1,ナムラヒナギク,2023106226,牝3,53,小沢大仁,result,1:48.6,1.1/2,**,**,**,**,**,13-13-12-12,34.3,20.6,7,470(-16),,,,[西]大橋勇樹,result,奈村睦弘,210.0
202602010907,3歳以上1勝クラス,2026-07-11,,,,曇,,4,8,14,ベアサナエチャン,2023106829,牝3,53,佐々木大,result,1:48.8,1.1/2,**,**,**,**,**,9-9-11-7,34.6,19.4,6,456(+6),,,,[東]杉浦宏昭,result,熊木浩,120.0
202602010907,3歳以上1勝クラス,2026-07-11,,,,曇,,5,3,3,コスモレッド,2023102475,牝3,53,池添謙一,result,1:48.9,3/4,**,**,**,**,**,4-3-3-3,35.2,62.2,9,442(+2),,,,[西]北出成人,result,ウエストヒルズ,82.0
202602010907,3歳以上1勝クラス,2026-07-11,,,,曇,,6,8,13,ルージュスティーズ,2022103063,牝4,56,吉田隼人,result,1:48.9,アタマ,**,**,**,**,**,14-14-14-14,34.3,66.3,10,496(+12),,,,[東]松尾卓哉,result,東京ホースレーシング,
202602010907,3歳以上1勝クラス,2026-07-11,,,,曇,,7,2,2,リリーズブルーム,2021101725,牝5,56,原田和真,result,1:49.0,3/4,**,**,**,**,**,7-7-7-7,35.0,97.7,11,464(-2),,,,[東]松山将樹,result,ＹＧＧホースクラブ,
202602010907,3歳以上1勝クラス,2026-07-11,,,,曇,,7,4,5,ターンザテーブルス,2023103820,牝3,53,丹内祐次,result,1:49.0,同着,**,**,**,**,**,2-2-2-2,35.5,2.5,1,428(+14),,,,[東]西田雄一,result,Ｇ１レーシング,
202602010907,3歳以上1勝クラス,2026-07-11,,,,曇,,9,5,7,タイムレスキス,2023103766,牝3,53,武豊,result,1:49.1,クビ,**,**,**,**,**,6-5-5-3,35.3,6.7,4,474(0),,,,[西]吉村圭司,result,サンデーレーシング,
202602010907,3歳以上1勝クラス,2026-07-11,,,,曇,,10,6,10,ルージュカエラ,2021104931,牝5,55,舟山瑠泉,result,1:49.1,クビ,**,**,**,**,**,8-7-7-7,35.1,219.8,13,438(0),,,,[東]古賀慎明,result,東京ホースレーシング,
202602010907,3歳以上1勝クラス,2026-07-11,,,,曇,,11,6,9,キセキノエンジェル,2019106416,牝7,52,河原田菜,result,1:49.3,1,**,**,**,**,**,11-11-12-12,35.0,164.2,12,476(0),,,,[東]武市康男,result,川島与市,
202602010907,3歳以上1勝クラス,2026-07-11,,,,曇,,12,7,11,フクシマコウヨウ,2022104870,牝4,56,岩田康誠,result,1:49.4,1,**,**,**,**,**,9-9-7-7,35.4,326.7,14,458(-4),,,,[東]小島茂之,result,西本資史,
202602010907,3歳以上1勝クラス,2026-07-11,,,,曇,,13,7,12,ミッキーマドンナ,2022105078,牝4,56,浜中俊,result,1:49.7,1.1/2,**,**,**,**,**,11-11-7-7,35.7,4.4,2,478(+18),,,,[東]堀宣行,result,野田みづき,
202602010907,3歳以上1勝クラス,2026-07-11,,,,曇,,14,5,8,クシマトゥルー,2023105222,牝3,52,長浜鴻緒,result,1:49.7,クビ,**,**,**,**,**,2-3-3-3,36.1,32.0,8,418(-10),,,,[東]矢嶋大樹,result,佐々木幸弘,
