race_id,race_name,date,surface,distance_m,direction,weather,track_condition,finish_position,waku,horse_number,horse_name,horse_id,sex_age,weight_carried,jockey,jockey_id,time,margin,popularity,win_odds,last_3f,passing_order,trainer,trainer_id,horse_weight
202609040112,3歳以上1勝クラス,2026-09-05,ダート,1400,,曇,稍,1,8,11,エンヴェロップ,2023105792,牝3,54.0,松若,01154,1:24.5,,8,28.1,37.8,,栗東佐藤悠,01205,452(-2)
202609040112,3歳以上1勝クラス,2026-09-05,ダート,1400,,曇,稍,2,8,12,エイシンティザー,2023105516,牡3,56.0,岩田望,01174,1:24.7,1.1/4,2,3.0,37.8,,栗東吉村,01130,506(+2)
202609040112,3歳以上1勝クラス,2026-09-05,ダート,1400,,曇,稍,3,6,8,ハグレジョー,2023104275,牡3,56.0,菱田,01144,1:24.9,1,1,2.2,37.7,,栗東岡田,01066,498(+8)
202609040112,3歳以上1勝クラス,2026-09-05,ダート,1400,,曇,稍,4,7,10,アーリントンロウ,2022105921,牡4,58.0,西村淳,01171,1:25.0,3/4,4,8.6,38.3,,栗東松下,01149,522(0)
202609040112,3歳以上1勝クラス,2026-09-05,ダート,1400,,曇,稍,5,6,7,ディーエストッキー,2021105098,牡5,58.0,幸,00732,1:25.0,クビ,5,17.6,37.5,,栗東橋口,01154,468(+8)
202609040112,3歳以上1勝クラス,2026-09-05,ダート,1400,,曇,稍,6,2,2,エイシンマールス,2022102624,牡4,58.0,松山,01126,1:25.2,3/4,3,8.0,37.7,,栗東今野,01128,462(0)
202609040112,3歳以上1勝クラス,2026-09-05,ダート,1400,,曇,稍,7,5,5,クリノセーラーマン,2023101199,牡3,56.0,田口,01208,1:25.3,1,10,85.6,37.2,,栗東大橋,01065,488(+6)
202609040112,3歳以上1勝クラス,2026-09-05,ダート,1400,,曇,稍,8,4,4,フィアーブル,2023103674,牝3,54.0,吉村,01216,1:25.4,1/2,7,25.7,38.0,,栗東長谷川,01173,454(-8)
202609040112,3歳以上1勝クラス,2026-09-05,ダート,1400,,曇,稍,9,3,3,アーディアイリ,2023102460,牝3,53.0,☆田山,01220,1:25.5,クビ,9,40.1,38.4,,栗東緒方,01193,444(0)
202609040112,3歳以上1勝クラス,2026-09-05,ダート,1400,,曇,稍,10,7,9,モズプリフォール,2023105738,牡3,56.0,坂井,01163,1:26.0,3,6,17.9,38.2,,栗東矢作,01075,502(0)
202609040112,3歳以上1勝クラス,2026-09-05,ダート,1400,,曇,稍,11,5,6,ロイヤルテール,2022100027,牡4,58.0,高杉,01213,1:26.1,クビ,11,122.3,38.5,,栗東畑端,01188,452(-4)
202609040112,3歳以上1勝クラス,2026-09-05,ダート,1400,,曇,稍,12,1,1,リーガルスプレンダ,2023103685,牝3,54.0,加藤,01156,1:28.8,大,12,250.0,41.6,,栗東庄野,01087,474(+2)
