race_id,race_name,date,surface,distance_m,direction,weather,track_condition,finish_position,waku,horse_number,horse_name,horse_id,sex_age,weight_carried,jockey,jockey_id,time,margin,time_index,time_index_master,start_index,pace_index,last_3f_index,passing_order,last_3f,win_odds,popularity,horse_weight,training_time,trainer_comment,remarks,trainer,trainer_id,owner,prize_money
202610010107,4歳以上1勝クラス,2026-01-24,芝,2600,右,晴,良,1,8,15,スズカミエール,2021102988,牝5,56,ルメール,05339,2:38.0,,**,**,**,**,**,5-5-5-5,34.6,2.5,1,482(+12),,,,[西]吉村圭司,01130,永井宏明,820.0
202610010107,4歳以上1勝クラス,2026-01-24,芝,2600,右,晴,良,2,4,7,アスクデッドヒート,2022105839,牡4,54,古川奈穂,01190,2:38.1,クビ,**,**,**,**,**,3-3-3-2,34.9,10.6,4,466(-8),,,,[西]矢作芳人,01075,廣崎利洋ＨＤ,330.0
202610010107,4歳以上1勝クラス,2026-01-24,芝,2600,右,晴,良,3,5,9,ゲンジ,2022105597,牡4,57,下原理,05328,2:38.2,1/2,**,**,**,**,**,12-13-12-12,34.4,11.1,5,430(+2),,,,[東]尾形和幸,01141,高橋文男,210.0
202610010107,4歳以上1勝クラス,2026-01-24,芝,2600,右,晴,良,4,2,3,ニホンピロゴルディ,2021103845,牡5,55,田山旺佑,01220,2:38.2,クビ,**,**,**,**,**,11-10-8-8,34.6,11.1,6,468(-2),,,,[西]安達昭夫,01042,小林英一,120.0
202610010107,4歳以上1勝クラス,2026-01-24,芝,2600,右,晴,良,5,7,12,ローレルオーブ,2022106940,牡4,57,斎藤新,01178,2:38.2,ハナ,**,**,**,**,**,8-8-2-2,35.1,30.8,11,476(+14),,,,[西]杉山佳明,01178,ローレルレーシング,82.0
202610010107,4歳以上1勝クラス,2026-01-24,芝,2600,右,晴,良,6,3,5,ウインリュクス,2020105189,牝6,53,石神深道,01209,2:38.2,クビ,**,**,**,**,**,5-5-5-5,34.8,6.1,3,438(-2),,,,[西]吉田直弘,01101,ウイン,
202610010107,4歳以上1勝クラス,2026-01-24,芝,2600,右,晴,良,6,5,8,オーサムユニバンス,2021105687,牡5,58,富田暁,01168,2:38.2,同着,**,**,**,**,**,10-10-8-8,34.7,6.0,2,436(-2),,,,[西]平田修,01082,亀井哲也,
202610010107,4歳以上1勝クラス,2026-01-24,芝,2600,右,晴,良,8,4,6,サラコスティ,2022104793,牡4,57,北村友一,01102,2:38.3,1/2,**,**,**,**,**,12-12-14-12,34.4,17.0,7,474(-8),,,,[西]池添学,01144,サンデーレーシング,
202610010107,4歳以上1勝クラス,2026-01-24,芝,2600,右,晴,良,9,3,4,シマサンブラック,2022103642,牡4,57,丹内祐次,01091,2:38.4,1/2,**,**,**,**,**,3-3-4-4,35.1,21.0,8,492(+28),,,,[東]蛯名正義,01191,嶋田賢,
202610010107,4歳以上1勝クラス,2026-01-24,芝,2600,右,晴,良,10,7,13,ペリプルス,2020105796,牡6,58,菊沢一樹,01161,2:38.5,クビ,**,**,**,**,**,15-13-8-8,34.9,126.0,14,452(+2),,,,[東]佐藤吉勝,01035,ビッグレッドファーム,
202610010107,4歳以上1勝クラス,2026-01-24,芝,2600,右,晴,良,11,1,1,ディスパラール,2022104138,牝4,55,団野大成,01180,2:38.5,クビ,**,**,**,**,**,5-5-8-5,35.0,28.1,10,440(+6),,,,[西]斉藤崇史,01151,飯田貴大,
202610010107,4歳以上1勝クラス,2026-01-24,芝,2600,右,晴,良,12,2,2,マイネルボス,2022106770,牡4,57,石川裕紀,01150,2:39.1,3.1/2,**,**,**,**,**,8-8-12-8,35.3,162.2,15,452(+12),,,,[東]畠山吉宏,01048,サラブレッドクラブ・ラフィアン,
202610010107,4歳以上1勝クラス,2026-01-24,芝,2600,右,晴,良,13,6,10,ポテチ,2022104494,牡4,57,松山弘平,01126,2:39.5,2.1/2,**,**,**,**,**,1-1-1-1,36.5,21.7,9,414(-5),,,,[西]鈴木孝志,01111,ケーエスＨＤ,
202610010107,4歳以上1勝クラス,2026-01-24,芝,2600,右,晴,良,14,6,11,ゴールドジェスター,2022106846,セ4,57,野中悠太,01158,2:39.8,1.3/4,**,**,**,**,**,12-13-15-15,35.7,72.9,13,440(-6),,,,[東]中川公成,01081,居城寿与,
202610010107,4歳以上1勝クラス,2026-01-24,芝,2600,右,晴,良,15,8,14,ヘルツアス,2021105985,牝5,56,松若風馬,01154,2:40.5,4,**,**,**,**,**,2-2-5-12,37.1,59.2,12,420(-2),,,,[西]森田直行,01142,大塚亮一,
