race_id,race_name,date,surface,distance_m,direction,weather,track_condition,finish_position,waku,horse_number,horse_name,horse_id,sex_age,weight_carried,jockey,jockey_id,time,margin,ﾀｲﾑ指数タイム指数(通常)タイム指数マスター,ﾀｲﾑ指数Mタイム指数(通常)タイム指数マスター,ｽﾀｰﾄ指数,追走指数,上がり指数,passing_order,last_3f,win_odds,popularity,horse_weight,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,trainer,trainer_id,owner,prize_money
202603020501,障害3歳以上オープン,2026-07-11,芝,3380,,晴,,1,6,6,シャンデルナゴル,2020103193,牡6,60,中村将之,result,3:44.2,,,,,,,1-1-1-1,13.3,7.4,3,504(-12),,,,[西]石坂公一,result,吉田勝己,"1,430.0"
202603020501,障害3歳以上オープン,2026-07-11,芝,3380,,晴,,2,3,3,トゥラッタッタ,2021102973,牡5,60,五十嵐雄,result,3:44.9,4,,,,,,3-2-2-2,13.3,2.0,1,468(-6),,,,[東]新開幸一,result,大塚亮一,570.0
202603020501,障害3歳以上オープン,2026-07-11,芝,3380,,晴,,3,8,11,クラウンセト,2019101488,牡7,60,金子光希,result,3:45.1,1,,,,,,9-8-7-4,13.3,52.4,10,444(-22),,,,[東]本間忍,result,和田志保,360.0
202603020501,障害3歳以上オープン,2026-07-11,芝,3380,,晴,,4,2,2,ジーククローネ,2020103537,セ6,61,草野太郎,result,3:45.7,4,,,,,,6-6-4-6,13.4,12.3,4,462(+6),,,,[東]宮田敬介,result,ＤＭＭドリームクラブ,210.0
202603020501,障害3歳以上オープン,2026-07-11,芝,3380,,晴,,5,4,4,ナックエルドラド,2022106304,牡4,57,水沼元輝,result,3:45.8,1/2,,,,,,4-4-2-2,13.4,90.4,11,504(0),,,,[東]小野次郎,result,小松欣也,143.0
202603020501,障害3歳以上オープン,2026-07-11,芝,3380,,晴,,6,5,5,フームスムート,2017104238,牡9,60,難波剛健,result,3:45.9,1/2,,,,,,2-2-4-5,13.4,26.5,9,522(-4),,,,[東]水野貴広,result,ディアレストクラブ,
202603020501,障害3歳以上オープン,2026-07-11,芝,3380,,晴,,7,1,1,ヒットアンドロール,2021104974,牡5,60,小牧加矢,result,3:46.0,1/2,,,,,,7-8-9-8,13.4,21.1,6,458(-6),,,,[東]田中勝春,result,薗部博之,
202603020501,障害3歳以上オープン,2026-07-11,芝,3380,,晴,,8,6,7,ネイチャーシップ,2018102917,牡8,60,大江原圭,result,3:46.8,5,,,,,,7-7-4-7,13.4,3.4,2,506(+2),,,,[東]畠山吉宏,result,サザンホールディング,
202603020501,障害3歳以上オープン,2026-07-11,芝,3380,,晴,,9,7,8,グラニットピーク,2020103507,セ6,57,坂口智康,result,3:47.0,1.1/4,,,,,,4-4-8-9,13.4,21.2,8,496(-6),,,,[東]田島俊明,result,シルクレーシング,
202603020501,障害3歳以上オープン,2026-07-11,芝,3380,,晴,,10,8,10,コスモチプリア,2020105774,牝6,58,伴啓太,result,3:47.2,3/4,,,,,,10-10-10-10,13.4,21.2,7,450(-10),,,,[東]松永康利,result,ビッグレッドファーム,
202603020501,障害3歳以上オープン,2026-07-11,芝,3380,,晴,,11,7,9,タマモエース,2019104010,牡7,60,高田潤,result,3:52.7,大,,,,,,11-11-11-11,13.8,18.2,5,478(-4),,,,[西]宮地貴稔,result,タマモ,
