race_id,race_name,surface,distance_m,track_condition,waku,horse_number,horse_name,sex_age,weight_carried,jockey,trainer,horse_weight,win_odds,horse_id,jockey_id,trainer_id,popularity
202606040701,3歳以上障害未勝利,,,重,1,1,アドアプローズ,牡5,60.0,上野,美浦小手川,478(-6),25.5,2021107224,01087,01171,9
202606040701,3歳以上障害未勝利,,,重,2,2,カルマンフィルター,牡5,60.0,草野,美浦戸田,496(+4),5.3,2021104842,01113,01054,2
202606040701,3歳以上障害未勝利,,,重,3,3,コトブキヘスペラス,牡6,60.0,小野寺,美浦金成,480(+2),62.3,2020100209,01123,01132,12
202606040701,3歳以上障害未勝利,,,重,3,4,テンプーシャオン,牡6,60.0,金子,美浦和田勇,430(-6),152.8,2020102767,01052,01165,14
202606040701,3歳以上障害未勝利,,,重,4,5,ゴーツウキリシマ,牝6,58.0,黒岩,栗東牧田,468(+1),14.9,2020109148,01072,01123,7
202606040701,3歳以上障害未勝利,,,重,4,6,シュハリ,牡6,60.0,大江圭,美浦粕谷,464(+2),36.9,2020105031,01120,01096,10
202606040701,3歳以上障害未勝利,,,重,5,7,アルシミスト,セ5,58.0,△坂口,美浦浅利,510(-10),12.0,2021105805,01211,01204,6
202606040701,3歳以上障害未勝利,,,重,5,8,バンデルオーラ,牡7,60.0,伴,美浦岩戸,490(+4),11.4,2019104915,01149,01051,5
202606040701,3歳以上障害未勝利,,,重,6,9,アバットゥータ,牡4,57.0,▲井上,栗東中竹,486(+8),5.9,2022101139,01151,01039,4
202606040701,3歳以上障害未勝利,,,重,6,10,ブランフォルテ,牡4,57.0,▲水沼,美浦辻,484(-2),5.4,2022100527,01201,01182,3
202606040701,3歳以上障害未勝利,,,重,7,11,ロイガヴェーグル,牡6,60.0,中村,栗東浜田,454(+8),90.3,2020103697,01101,01138,13
202606040701,3歳以上障害未勝利,,,重,7,12,ニシノブレイゼスト,牡4,60.0,五十嵐,美浦高木,504(+2),17.1,2022107011,01069,01088,8
202606040701,3歳以上障害未勝利,,,重,8,13,サトノドルチェ,セ7,60.0,江田勇,美浦蛯名利,458(+8),40.9,2019105500,01023,01131,11
202606040701,3歳以上障害未勝利,,,重,8,14,グランナヴィール,牡5,60.0,難波,美浦堀内,556(+16),3.4,2021101779,01066,01189,1
