race_id,race_name,date,surface,distance_m,direction,weather,track_condition,finish_position,waku,horse_number,horse_name,horse_id,sex_age,weight_carried,jockey,jockey_id,time,margin,time_index,time_index_master,start_index,pace_index,last_3f_index,passing_order,last_3f,win_odds,popularity,horse_weight,training_time,trainer_comment,remarks,trainer,trainer_id,owner,prize_money
202303030212,3歳以上1勝クラス,2023-11-05,ダート,1150,右,曇,良,1,6,7,アイファースキャン,2020101271,牡3,55,藤田菜七,01164,1:08.8,,**,,,,,1-1,36.9,2.3,1,474(-4),,,,[東]根本康広,01029,中島稔,800.0
202303030212,3歳以上1勝クラス,2023-11-05,ダート,1150,右,曇,良,2,8,11,スモーキンビリー,2020110145,牡3,57,亀田温心,01176,1:09.3,3,**,,,,,2-2,37.2,12.9,6,486(-10),,,,[西]音無秀孝,01002,江馬由将,320.0
202303030212,3歳以上1勝クラス,2023-11-05,ダート,1150,右,曇,良,3,8,10,アイファーベア,2018100107,牡5,55,小林勝太,01205,1:09.4,1/2,**,,,,,2-2,37.4,26.1,7,456(-2),,,,[東]根本康広,01029,中島稔,200.0
202303030212,3歳以上1勝クラス,2023-11-05,ダート,1150,右,曇,良,4,2,2,シルバーキングダム,2019103553,牡4,55,水沼元輝,01201,1:09.5,1/2,**,,,,,8-10,36.9,56.6,9,488(-8),,,,[東]西田雄一,01187,平賀久枝,120.0
202303030212,3歳以上1勝クラス,2023-11-05,ダート,1150,右,曇,良,5,4,4,キリシマタウン,2019106305,牡4,55,石田拓郎,01203,1:09.5,アタマ,**,,,,,4-4,37.3,90.9,10,454(+4),,,,[東]天間昭一,01090,西村新一郎,80.0
202303030212,3歳以上1勝クラス,2023-11-05,ダート,1150,右,曇,良,6,7,8,プリンスノット,2020102881,牡3,54,鷲頭虎太,01202,1:09.5,アタマ,**,,,,,8-4,36.9,7.4,4,480(-2),,,,[西]奥村豊,01146,ノルマンディーサラブレッドレーシング,
202303030212,3歳以上1勝クラス,2023-11-05,ダート,1150,右,曇,良,7,7,9,スマイルアップ,2019103815,牝4,56,丹内祐次,01091,1:09.7,1.1/4,**,,,,,4-4,37.5,4.0,2,446(+2),,,,[東]萱野浩二,01024,馬目卓,
202303030212,3歳以上1勝クラス,2023-11-05,ダート,1150,右,曇,良,8,1,1,オコジュ,2020101265,牝3,55,黛弘人,01109,1:09.9,1,**,,,,,6-7,37.5,42.3,8,458(+4),,,,[東]中野栄治,01010,ミルファーム,
202303030212,3歳以上1勝クラス,2023-11-05,ダート,1150,右,曇,良,9,3,3,ミッキースピナッチ,2020101649,牡3,54,永島まな,01187,1:10.0,1/2,**,,,,,6-7,37.6,5.4,3,498(-4),,,,[西]音無秀孝,01002,野田みづき,
202303030212,3歳以上1勝クラス,2023-11-05,ダート,1150,右,曇,良,10,5,5,クリノビックリバゴ,2018100862,牡5,54,古川奈穂,01190,1:10.1,3/4,**,,,,,11-11,36.9,145.0,11,454(-8),,,,[西]藤沢則雄,01041,栗本博晴,
202303030212,3歳以上1勝クラス,2023-11-05,ダート,1150,右,曇,良,11,6,6,デュアルキャリアー,2016110104,牡7,54,小林美駒,01206,1:10.4,1.3/4,**,,,,,8-7,37.8,12.5,5,548(+4),,,,[東]加藤士津,01169,ライオンレースホース,
