race_id,race_name,date,surface,distance_m,direction,weather,track_condition,finish_position,waku,horse_number,horse_name,horse_id,sex_age,weight_carried,jockey,jockey_id,time,margin,time_index,time_index_master,start_index,pace_index,last_3f_index,passing_order,last_3f,win_odds,popularity,horse_weight,training_time,trainer_comment,remarks,trainer,trainer_id,owner,prize_money
202407040104,2歳未勝利,2024-11-30,芝,1200,左,曇,良,1,3,6,タガノアンファン,2022106555,牡2,56,藤懸貴志,01138,1:09.1,,**,**,**,**,**,3-3,34.5,1.8,1,466(+2),,,,[西]石坂公一,01166,八木良司,550.0
202407040104,2歳未勝利,2024-11-30,芝,1200,左,曇,良,2,1,1,エイシンパンタレイ,2022100981,牡2,56,斎藤新,01178,1:09.1,1/2,**,**,**,**,**,1-1,34.8,5.2,2,488(-2),,,,[西]中尾秀正,01069,栄進堂,220.0
202407040104,2歳未勝利,2024-11-30,芝,1200,左,曇,良,3,3,5,ペガサスノース,2022101053,牝2,55,亀田温心,01176,1:09.5,2.1/2,**,**,**,**,**,8-8,34.3,38.6,8,478(+4),,,,[西]高柳大輔,01159,天羽牧場,140.0
202407040104,2歳未勝利,2024-11-30,芝,1200,左,曇,良,4,7,14,カウンターセブン,2022104197,牡2,56,岩田康誠,05203,1:09.6,クビ,**,**,**,**,**,8-8,34.5,6.2,3,482(0),,,,[東]村田一誠,01190,フィールドレーシング,83.0
202407040104,2歳未勝利,2024-11-30,芝,1200,左,曇,良,5,8,15,テーオーシュターデ,2022107056,牝2,53,高杉吏麒,01213,1:09.8,1.1/4,**,**,**,**,**,3-3,35.2,11.7,4,420(+2),,,,[西]宮徹,01018,小笹公也,55.0
202407040104,2歳未勝利,2024-11-30,芝,1200,左,曇,良,6,5,10,アーサーズウェイン,2022106433,牝2,54,西塚洸二,01200,1:10.0,1.1/2,**,**,**,**,**,13-13,34.3,83.4,11,436(-8),,,,[西]高橋一哉,01206,栗山学,
202407040104,2歳未勝利,2024-11-30,芝,1200,左,曇,良,7,8,17,ゲレル,2022101203,牝2,55,横山和生,01140,1:10.4,2.1/2,**,**,**,**,**,5-5,35.6,29.4,7,442(+6),,,,[西]長谷川浩,01173,加藤天明,
202407040104,2歳未勝利,2024-11-30,芝,1200,左,曇,良,8,6,12,ペイドラロワール,2022103962,牡2,56,長岡禎仁,01142,1:10.4,ハナ,**,**,**,**,**,14-14,34.1,88.2,12,446(+2),,,,[西]清水久詞,01110,犬塚悠治郎,
202407040104,2歳未勝利,2024-11-30,芝,1200,左,曇,良,9,2,4,メイショウイチモン,2022100208,牡2,55,小沢大仁,01185,1:10.6,1.1/4,**,**,**,**,**,5-7,35.6,119.1,14,494(+4),,,,[西]飯田祐史,01139,松本好雄,
202407040104,2歳未勝利,2024-11-30,芝,1200,左,曇,良,10,6,11,パリコレジェンヌ,2022104501,牝2,55,藤岡佑介,01093,1:10.6,アタマ,**,**,**,**,**,11-11,35.1,13.3,5,458(0),,,,[西]鈴木孝志,01111,吉田智,
202407040104,2歳未勝利,2024-11-30,芝,1200,左,曇,良,11,1,2,マギームーン,2022105379,牝2,55,鮫島克駿,01157,1:10.7,1/2,**,**,**,**,**,5-5,35.9,17.1,6,408(+2),,,,[西]庄野靖志,01087,ＮＩＣＫＳ,
202407040104,2歳未勝利,2024-11-30,芝,1200,左,曇,良,12,8,16,スネーフリンガ,2022103039,牝2,55,吉田隼人,01095,1:10.7,クビ,**,**,**,**,**,14-14,34.4,78.0,10,452(-4),,,,[西]森田直行,01142,高樽さゆり,
202407040104,2歳未勝利,2024-11-30,芝,1200,左,曇,良,13,4,8,タケノリッチ,2022101658,牝2,52,柴田裕一,01212,1:10.8,3/4,**,**,**,**,**,10-10,35.4,39.6,9,452(0),,,,[西]村山明,01107,竹原孝昭,
202407040104,2歳未勝利,2024-11-30,芝,1200,左,曇,良,14,7,13,フジサンエンヤス,2022101051,牝2,52,川端海翼,01195,1:11.4,3.1/2,**,**,**,**,**,16-16,34.9,609.5,16,378(-2),,,,[東]松山将樹,01100,藤田秀行,
202407040104,2歳未勝利,2024-11-30,芝,1200,左,曇,良,15,2,3,ベルオーブ,2022106855,牝2,53,永島まな,01187,1:12.1,4,**,**,**,**,**,16-17,35.3,264.2,15,434(-2),,,,[西]高橋義忠,01129,北星村田牧場,
202407040104,2歳未勝利,2024-11-30,芝,1200,左,曇,良,16,4,7,ノワールエブラン,2022103554,牝2,53,吉村誠之,01216,1:12.6,3,**,**,**,**,**,2-2,38.1,117.2,13,412(+14),,,,[西]藤野健太,01200,ノルマンディーサラブレッドレーシング,
202407040104,2歳未勝利,2024-11-30,芝,1200,左,曇,良,17,5,9,エコロジェイド,2022103497,牡2,55,松本大輝,01191,1:17.2,大,**,**,**,**,**,11-11,41.7,639.5,17,492(+8),,,,[東]小西一男,00405,原村正紀,
