race_id,race_name,date,surface,distance_m,direction,weather,track_condition,finish_position,waku,horse_number,horse_name,horse_id,sex_age,weight_carried,jockey,jockey_id,time,margin,time_index,time_index_master,start_index,pace_index,last_3f_index,passing_order,last_3f,win_odds,popularity,horse_weight,training_time,trainer_comment,remarks,trainer,trainer_id,owner,prize_money
202447052208,天下布武賞(C),2024-05-22,ダート,1400,右,曇,良,1,3,3,リケアネーブル,2020105112,牡4,56,渡辺竜也,05558,1:29.7,,**,-,-,-,-,5-2-2,39.4,1.8,1,454(-8),,,,[地]笹野博司,05675,稲場澄,42.0
202447052208,天下布武賞(C),2024-05-22,ダート,1400,右,曇,良,2,8,9,キタノマルティス,2020100181,牝4,54,塚本征吾,05638,1:30.6,4,**,-,-,-,-,7-6-6,39.3,8.5,4,427(0),,,,[地]藤田正治,05237,北所拓也,14.7
202447052208,天下布武賞(C),2024-05-22,ダート,1400,右,曇,良,3,4,4,ラヴィングメモリー,2020103882,牝4,54,森島貴之,a027b,1:30.7,1/2,**,-,-,-,-,1-1-1,40.6,3.4,2,470(+1),,,,[地]栗本陽一,a02e1,宮崎孝一郎,8.4
202447052208,天下布武賞(C),2024-05-22,ダート,1400,右,曇,良,4,5,5,ロイヤルワラント,2020103059,牝4,54,丸野勝虎,05053,1:31.2,2.1/2,**,-,-,-,-,6-4-4,40.5,39.7,7,404(-5),,,,[地]伊藤強一,05076,石井啓之,4.2
202447052208,天下布武賞(C),2024-05-22,ダート,1400,右,曇,良,5,8,10,パンフィーリ,2020100550,牝4,54,細川智史,05602,1:31.5,1.1/2,**,-,-,-,-,2-3-3,41.3,72.7,10,408(+5),,,,[地]伊藤強一,05076,酒井孝敏,2.1
202447052208,天下布武賞(C),2024-05-22,ダート,1400,右,曇,良,6,7,8,メイショウスイケイ,2020104417,牡4,56,岡部誠,05171,1:31.5,アタマ,**,-,-,-,-,10-9-7,39.6,6.2,3,456(-2),,,,[地]伊藤強一,05076,（同）ＪＰＮ技研,
202447052208,天下布武賞(C),2024-05-22,ダート,1400,右,曇,良,7,2,2,マンディブラリス,2020106696,牝4,54,松本剛志,a0162,1:32.3,4,**,-,-,-,-,4-5-5,41.6,54.5,8,488(+4),,,,[地]伊藤勝好,05201,遠藤喜和,
202447052208,天下布武賞(C),2024-05-22,ダート,1400,右,曇,良,8,7,7,シシャモ,2019100298,牝5,54,東川慎,05634,1:32.3,ハナ,**,-,-,-,-,9-10-9,40.3,21.2,5,438(+2),,,,[地]後藤正義,a0276,市原朗雄,
202447052208,天下布武賞(C),2024-05-22,ダート,1400,右,曇,良,9,6,6,ロゼアクアリオ,2020104015,牝4,54,加藤聡一,05557,1:32.9,3,**,-,-,-,-,8-8-8,41.2,34.6,6,410(+8),,,,[地]後藤佑耶,a034e,水谷昌晃,
202447052208,天下布武賞(C),2024-05-22,ダート,1400,右,曇,良,10,1,1,エラキス,2018100435,牝6,53,室陽一朗,05651,1:37.2,大,**,-,-,-,-,3-7-10,46.3,69.5,9,415(-4),,,,[地]藤田正治,05237,インターフェース（同,
