race_id,race_name,date,surface,distance_m,direction,weather,track_condition,finish_position,waku,horse_number,horse_name,horse_id,sex_age,weight_carried,jockey,jockey_id,time,margin,time_index,time_index_master,start_index,pace_index,last_3f_index,passing_order,last_3f,win_odds,popularity,horse_weight,training_time,trainer_comment,remarks,trainer,trainer_id,owner,prize_money
202447091210,夜長月特別(B),2024-09-12,ダート,1600,右,晴,良,1,4,4,チームケミストリー,2019101969,牡5,56,藤原幹生,05521,1:43.2,,**,-,-,-,-,4-5-5,38.9,18.7,5,456(0),,,,[地]笹野博司,05675,山下貴,60.0
202447091210,夜長月特別(B),2024-09-12,ダート,1600,右,晴,良,2,3,3,スーチャン,2018106893,牝6,54,渡辺竜也,05558,1:43.3,1/2,**,-,-,-,-,2-1-1,39.4,5.6,3,483(+11),,,,[地]笹野博司,05675,インターフェース（同,21.0
202447091210,夜長月特別(B),2024-09-12,ダート,1600,右,晴,良,3,8,8,チュウワジョーダン,2017101057,セ7,56,高木健,05226,1:43.5,1,**,-,-,-,-,5-4-4,39.2,68.0,7,455(-2),,,,[地]加藤幸保,05544,中西忍,12.0
202447091210,夜長月特別(B),2024-09-12,ダート,1600,右,晴,良,4,7,7,ミノコクシュタルク,2021102441,牡3,56,岡部誠,05171,1:44.0,2.1/2,**,-,-,-,-,6-6-6,39.4,1.5,1,410(-2),,,,[地]大橋敬永,05329,廣瀬普,6.0
202447091210,夜長月特別(B),2024-09-12,ダート,1600,右,晴,良,5,5,5,トーセンダビット,2020102530,牡4,56,向山牧,00410,1:44.1,1/2,**,-,-,-,-,3-3-2,40.0,4.8,2,438(-21),,,,[地]後藤正義,a0276,島川隆哉,3.0
202447091210,夜長月特別(B),2024-09-12,ダート,1600,右,晴,良,6,2,2,サツキフラッシュ,2020100626,牝4,54,丸野勝虎,05053,1:44.7,3,**,-,-,-,-,1-1-3,41.4,21.5,6,451(+1),,,,[地]伊藤強一,05076,小野博郷,
202447091210,夜長月特別(B),2024-09-12,ダート,1600,右,晴,良,7,6,6,アルスアンティカ,2020102629,セ4,56,細川智史,05602,1:44.8,1/2,**,-,-,-,-,7-7-7,40.0,9.2,4,435(+5),,,,[地]伊藤強一,05076,（同）ＪＰＮ技研,
202447091210,夜長月特別(B),2024-09-12,ダート,1600,右,晴,良,除,1,1,ヴァンヌ,2018102899,牡6,56,松本剛志,a0162,,,,-,-,-,-,,,---,,516(0),,,,[地]栗本陽一,a02e1,福永實,
