race_id,race_name,date,surface,distance_m,direction,weather,track_condition,finish_position,waku,horse_number,horse_name,horse_id,sex_age,weight_carried,jockey,jockey_id,time,margin,time_index,time_index_master,start_index,pace_index,last_3f_index,passing_order,last_3f,win_odds,popularity,horse_weight,training_time,trainer_comment,remarks,trainer,trainer_id,owner,prize_money
202444071204,2歳　新馬,2024-07-12,ダート,1200,右,雨,稍重,1,2,2,フロントドア,2022103397,牡2,54,藤本現暉,05590,1:16.4,,**,-,-,-,-,3-2,39.7,7.5,4,461(0),,,,[地]阪本一栄,05612,三宅勝俊,450.0
202444071204,2歳　新馬,2024-07-12,ダート,1200,右,雨,稍重,2,3,3,ブルードプリュス,2022107071,牝2,54,笹川翼,05524,1:16.4,クビ,**,-,-,-,-,1-1,39.8,1.7,1,457(0),,,,[地]福永敏,05727,永嶋啓一,180.0
202444071204,2歳　新馬,2024-07-12,ダート,1200,右,雨,稍重,3,6,6,スターオブバーバラ,2022101878,牝2,52,谷内貫太,05650,1:18.2,9,**,-,-,-,-,2-3,41.5,27.6,6,473(0),,,,[地]嶋田幸晴,a0238,光安了,112.5
202444071204,2歳　新馬,2024-07-12,ダート,1200,右,雨,稍重,4,1,1,アビレス,2022105676,牝2,54,藤田凌,05559,1:18.3,3/4,**,-,-,-,-,4-4,41.0,6.8,3,448(0),,,,[地]橋本和馬,a0254,島川隆哉,67.5
202444071204,2歳　新馬,2024-07-12,ダート,1200,右,雨,稍重,5,7,7,タンパベイ,2022102741,牡2,54,吉井章,05583,1:19.2,4,**,-,-,-,-,6-6,40.3,8.0,5,481(0),,,,[地]松浦裕之,05571,前田良平,45.0
202444071204,2歳　新馬,2024-07-12,ダート,1200,右,雨,稍重,6,5,5,ヴェルヴェーナ,2022100253,牝2,54,矢野貴之,05380,1:19.3,1/2,**,-,-,-,-,5-5,41.4,4.6,2,450(0),,,,[地]堀千亜樹,05607,菅原広隆,
202444071204,2歳　新馬,2024-07-12,ダート,1200,右,雨,稍重,7,4,4,シャークコパ,2022102451,牝2,54,千田洋,a0277,1:22.7,大,**,-,-,-,-,7-7,42.4,55.2,7,461(0),,,,[地]赤嶺亮,a039f,鮫島明洋,
