race_id,race_name,date,surface,distance_m,direction,weather,track_condition,finish_position,waku,horse_number,horse_name,horse_id,sex_age,weight_carried,jockey,jockey_id,time,margin,time_index,time_index_master,start_index,pace_index,last_3f_index,passing_order,last_3f,win_odds,popularity,horse_weight,training_time,trainer_comment,remarks,trainer,trainer_id,owner,prize_money
202455062408,Bー5組,2024-06-24,ダート,1400,右,曇,不良,1,7,9,シゲルチータ,2019102997,牡5,56,山口勲,05229,1:29.5,,**,-,-,-,-,1-1-1-1,38.2,2.5,1,566(-1),,,,[地]九日俊光,05005,關美和,48.0
202455062408,Bー5組,2024-06-24,ダート,1400,右,曇,不良,2,4,4,ゴーマイオーシャン,2020106231,牡4,56,山田義貴,05654,1:29.5,クビ,**,-,-,-,-,7-7-5-2,37.4,5.0,3,495(-2),,,,[地]真島正徳,a0458,冨沢敦子,15.4
202455062408,Bー5組,2024-06-24,ダート,1400,右,曇,不良,3,2,2,ブリリオ,2020106754,牡4,56,金山昇馬,05601,1:29.9,2,**,-,-,-,-,10-9-9-5,37.2,2.8,2,461(+5),,,,[地]池田忠好,05741,鶴俊邦,8.6
202455062408,Bー5組,2024-06-24,ダート,1400,右,曇,不良,4,5,5,ワシントンテソーロ,2016110044,牡8,56,石川慎将,05478,1:30.2,1.1/2,**,-,-,-,-,4-3-4-3,38.6,49.8,10,513(-1),,,,[地]東眞市,05601,了徳寺健二ホールディ,5.8
202455062408,Bー5組,2024-06-24,ダート,1400,右,曇,不良,5,7,10,ピエナナイスガイ,2020102997,セ4,56,竹吉徹,05548,1:30.4,1.1/4,**,-,-,-,-,5-6-6-8,38.5,7.4,4,490(0),,,,[地]山田義人,a00f4,上岡和男,3.8
202455062408,Bー5組,2024-06-24,ダート,1400,右,曇,不良,6,6,7,イダテンターボ,2020101383,牡4,56,川島拓,05645,1:30.6,1,**,-,-,-,-,3-4-3-4,39.0,30.7,7,447(+2),,,,[地]北村欣也,05770,藤木隆之,
202455062408,Bー5組,2024-06-24,ダート,1400,右,曇,不良,7,8,12,チャットムーン,2018103999,牡6,56,長田進仁,05147,1:30.7,1/2,**,-,-,-,-,8-8-8-7,38.2,36.7,8,501(+3),,,,[地]中野博,a00f6,扇原毅士,
202455062408,Bー5組,2024-06-24,ダート,1400,右,曇,不良,8,1,1,ダンホーキラー,2016100923,セ8,56,出水拓人,05579,1:30.8,クビ,**,-,-,-,-,11-10-10-10,37.8,46.4,9,456(0),,,,[地]中川竜馬,05624,荒木謙明,
202455062408,Bー5組,2024-06-24,ダート,1400,右,曇,不良,9,8,11,マリノフェアレディ,2020101432,牝4,54,飛田愛斗,05609,1:30.8,アタマ,**,-,-,-,-,2-2-2-6,39.3,25.7,5,435(+2),,,,[地]渡辺博文,05745,矢野恭裕,
202455062408,Bー5組,2024-06-24,ダート,1400,右,曇,不良,10,5,6,ロウレイロ,2019110132,牝5,52,青海大樹,05658,1:31.9,6,**,-,-,-,-,6-5-7-9,40.0,29.1,6,506(-1),,,,[地]池田忠好,05741,河野能胤,
202455062408,Bー5組,2024-06-24,ダート,1400,右,曇,不良,11,3,3,カシオン,2019105086,牡5,56,田中純,05456,1:32.3,2,**,-,-,-,-,12-11-11-11,38.9,303.6,11,505(+4),,,,[地]東美義,05420,山本浩司,
202455062408,Bー5組,2024-06-24,ダート,1400,右,曇,不良,12,6,8,ケプチャン,2018106611,牡6,56,田中直人,05491,1:32.3,ハナ,**,-,-,-,-,9-12-12-12,38.6,323.4,12,503(-2),,,,[地]東美義,05420,坂本忠教,
