race_id,race_name,surface,distance_m,track_condition,waku,horse_number,horse_name,sex_age,weight_carried,jockey,trainer,horse_weight,win_odds,horse_id,jockey_id,trainer_id,popularity
202607020203,3歳未勝利,芝,2200,良,1,1,ソニックブーム,牝3,55.0,吉村,栗東柴田,462(+2),28.1,2023102008,01216,01216,6
202607020203,3歳未勝利,芝,2200,良,2,2,テーオーシュテルン,牡3,55.0,◇永島,栗東梅田,512(0),206.8,2023104546,01187,01084,9
202607020203,3歳未勝利,芝,2200,良,3,3,タイセイグローバル,牡3,57.0,角田和,栗東小林,492(+6),54.3,2023105256,01186,01185,8
202607020203,3歳未勝利,芝,2200,良,4,4,リアライズパリオ,牡3,56.0,☆田山,栗東須貝,488(-10),31.1,2023103679,01220,01105,7
202607020203,3歳未勝利,芝,2200,良,5,5,ストラドーネ,牡3,55.0,△柴田裕,栗東中竹,434(+18),211.0,2023103586,01212,01039,10
202607020203,3歳未勝利,芝,2200,良,6,6,ダノンミッドナイト,牡3,57.0,川田,栗東中内田,488(+2),1.9,2023105335,01088,01137,1
202607020203,3歳未勝利,芝,2200,良,7,7,ダノンオブアイデア,牡3,57.0,松山,栗東藤原,516(+2),8.8,2023103398,01126,01055,4
202607020203,3歳未勝利,芝,2200,良,7,8,ナムラヴンダー,牡3,57.0,幸,栗東河嶋,434(-6),4.2,2023106243,00732,01198,2
202607020203,3歳未勝利,芝,2200,良,8,9,オープンザパンドラ,牡3,57.0,Ｍデムーロ,栗東小椋,450(+6),4.5,2023105573,05212,01197,3
202607020203,3歳未勝利,芝,2200,良,8,10,ヴィスメンティス,牡3,57.0,荻野極,栗東池江,436(+4),16.0,2023103758,01160,01071,5
