race_id,race_name,surface,distance_m,track_condition,waku,horse_number,horse_name,sex_age,weight_carried,jockey,trainer,horse_weight,win_odds,horse_id,jockey_id,trainer_id
202604020711,3歳未勝利,芝,1000,良,1,1,ジーティーソレイユ,牝3,55.0,丸田,美浦千葉,,---.-,2023103728,01117,01199
202604020711,3歳未勝利,芝,1000,良,1,2,コンフィアンサ,牝3,55.0,津村,美浦菊川,,---.-,2023102342,01092,01052
202604020711,3歳未勝利,芝,1000,良,2,3,ミヤカグラ,牝3,53.0,◇今村,美浦中舘,,---.-,2023105567,01193,01153
202604020711,3歳未勝利,芝,1000,良,2,4,スーホ,牡3,57.0,石橋脩,美浦上原佑,,---.-,2023107249,01077,01192
202604020711,3歳未勝利,芝,1000,良,3,5,アルティーノ,牡3,57.0,川須,美浦伊坂,,---.-,2023106062,01128,01177
202604020711,3歳未勝利,芝,1000,良,3,6,リュウセイコウテイ,牡3,57.0,原,美浦奥平,,---.-,2023106437,01184,01074
202604020711,3歳未勝利,芝,1000,良,4,7,スタンダールロマン,牝3,55.0,松岡,美浦堀内,,---.-,2023105725,01085,01189
202604020711,3歳未勝利,芝,1000,良,4,8,メーレスブリーゼ,牝3,55.0,武藤,美浦水野,,---.-,2023106429,01169,01094
202604020711,3歳未勝利,芝,1000,良,5,9,ダイユウヴェンティ,牝3,52.0,▲石田,美浦松永康,,---.-,2023105102,01203,01093
202604020711,3歳未勝利,芝,1000,良,5,10,ソレム,牝3,53.0,△石神道,美浦稲垣,,---.-,2023107213,01209,01167
202604020711,3歳未勝利,芝,1000,良,6,11,シャルマンナナ,牝3,55.0,木幡巧,美浦矢嶋,,---.-,2023101483,01162,01202
202604020711,3歳未勝利,芝,1000,良,6,12,リナシタ,牝3,55.0,石川,美浦清水英,,---.-,2023100290,01150,01080
202604020711,3歳未勝利,芝,1000,良,7,13,エレクトロン,牡3,57.0,江田照,美浦佐藤吉,,---.-,2023106608,00689,01035
202604020711,3歳未勝利,芝,1000,良,7,14,ユアベストダンサー,牝3,52.0,▲上里,美浦松尾,,---.-,2023103663,01217,01220
202604020711,3歳未勝利,芝,1000,良,7,15,メインテーマ,牝3,52.0,▲佐藤,美浦小手川,,---.-,2023103571,01207,01171
202604020711,3歳未勝利,芝,1000,良,8,16,ルディドゥゲンジ,牝3,55.0,杉原,美浦蛯名利,,---.-,2023103934,01135,01131
202604020711,3歳未勝利,芝,1000,良,8,17,カゼノオモイデ,牝3,55.0,丸山,美浦佐藤吉,,---.-,2023100890,01127,01035
202604020711,3歳未勝利,芝,1000,良,8,18,ラウンドヒル,牝3,55.0,三浦,美浦田島,,---.-,2023105751,01122,01112
