race_id,race_name,surface,distance_m,waku,horse_number,horse_name,sex_age,weight_carried,jockey,trainer,horse_weight,win_odds,horse_id,jockey_id,trainer_id
202602011203,3歳未勝利,ダート,1700,1,1,サクセスゴールド,牡3,57.0,吉田隼,美浦久保田,,---.-,2023106691,01095,01067
202602011203,3歳未勝利,ダート,1700,2,2,デルマバンダイサン,牡3,57.0,松本,栗東井上,,---.-,2023103424,01191,01214
202602011203,3歳未勝利,ダート,1700,3,3,ルージュリヴィエラ,牝3,55.0,横山和,美浦嘉藤,,---.-,2023105608,01140,01195
202602011203,3歳未勝利,ダート,1700,3,4,ロジクリスエス,セ3,57.0,黛,美浦新開,,---.-,2023104684,01109,01116
202602011203,3歳未勝利,ダート,1700,4,5,マスカルポーネ,牝3,55.0,丹内,美浦水野,,---.-,2023104632,01091,01094
202602011203,3歳未勝利,ダート,1700,4,6,キヨタリート,牡3,57.0,落合玄,栗東小崎,,---.-,2023102546,05578,01085
202602011203,3歳未勝利,ダート,1700,5,7,キセログラフィカ,牡3,57.0,佐々木,美浦大和田,,---.-,2023105682,01197,01124
202602011203,3歳未勝利,ダート,1700,5,8,トーレス,牡3,57.0,古川吉,栗東秋山,,---.-,2023100645,01015,01212
202602011203,3歳未勝利,ダート,1700,6,9,ブレイズランナー,牡3,56.0,☆長浜,美浦蛯名正,,---.-,2023103577,01214,01191
202602011203,3歳未勝利,ダート,1700,6,10,ドゥブルヴェ,牝3,51.0,★河原田,栗東池添,,---.-,2023106953,01204,01144
202602011203,3歳未勝利,ダート,1700,7,11,ホウオウファラオ,牡3,57.0,岩田康,美浦奥村武,,---.-,2023105365,05203,01145
202602011203,3歳未勝利,ダート,1700,7,12,スマートコーラル,牝3,54.0,☆舟山,栗東石坂,,---.-,2023106001,01221,01166
202602011203,3歳未勝利,ダート,1700,8,13,ニシノモリミチ,牡3,57.0,横山武,美浦高木,,---.-,2023100362,01170,01088
202602011203,3歳未勝利,ダート,1700,8,14,ダイユウアドバンス,牝3,55.0,斎藤,美浦松永康,,---.-,2023106308,01178,01093
