race_id,race_name,surface,distance_m,waku,horse_number,horse_name,sex_age,weight_carried,jockey,trainer,horse_weight,win_odds,horse_id,jockey_id,trainer_id
202603020711,阿武隈S,芝,1800,1,1,ショーマンフリート,牡5,53.0,嶋田,美浦手塚久,,---.-,2021105601,01134,01038
202603020711,阿武隈S,芝,1800,1,2,ウインオーディン,牡6,56.0,荻野極,美浦鹿戸,,---.-,2020105217,01160,01097
202603020711,阿武隈S,芝,1800,2,3,アマイ,牝6,54.0,原,美浦伊藤大,,---.-,2020100809,01184,01109
202603020711,阿武隈S,芝,1800,2,4,ワイドアラジン,牡6,55.0,田辺,栗東奥村豊,,---.-,2020104550,01075,01146
202603020711,阿武隈S,芝,1800,3,5,コスモアンソロジー,牡4,56.0,津村,美浦嘉藤,,---.-,2022106793,01092,01195
202603020711,阿武隈S,芝,1800,3,6,タイキラフター,牡6,55.0,杉原,美浦大竹,,---.-,2020106811,01135,01102
202603020711,阿武隈S,芝,1800,4,7,グラニット,牡6,55.0,江田照,美浦大和田,,---.-,2020100810,00689,01124
202603020711,阿武隈S,芝,1800,4,8,ホウオウスーペリア,牡6,56.0,三浦,栗東吉岡,,---.-,2020103928,01122,01176
202603020711,阿武隈S,芝,1800,5,9,コンドゥイア,牝4,52.0,小崎,栗東井上,,---.-,2022100201,01152,01214
202603020711,阿武隈S,芝,1800,5,10,ドラゴンヘッド,牡6,55.0,石田,美浦武藤,,---.-,2020100495,01203,01064
202603020711,阿武隈S,芝,1800,6,11,エスコバル,セ8,54.0,吉田豊,美浦高橋文,,---.-,2018106154,00733,01134
202603020711,阿武隈S,芝,1800,6,12,ヴォンフレ,牝4,53.0,横山典,美浦村田,,---.-,2022101227,00660,01190
202603020711,阿武隈S,芝,1800,7,13,ミラビリスマジック,牝5,53.0,戸崎圭,美浦千葉,,---.-,2021105105,05386,01199
202603020711,阿武隈S,芝,1800,7,14,テリオスサラ,牝5,53.0,菊沢,美浦高柳瑞,,---.-,2021104189,01161,01118
202603020711,阿武隈S,芝,1800,8,15,サヴォンリンナ,牝4,53.0,大野,栗東田中克,,---.-,2022105696,01096,01180
202603020711,阿武隈S,芝,1800,8,16,フォルラニーニ,牡5,56.0,坂井,美浦手塚久,,---.-,2021105859,01163,01038
