race_id,race_name,surface,distance_m,track_condition,waku,horse_number,horse_name,sex_age,weight_carried,jockey,trainer,horse_weight,win_odds,horse_id,jockey_id,trainer_id,popularity
202601020305,2歳新馬,ダート,1700,稍,1,1,ユーフォナイト,牡2,55.0,武豊,美浦加藤征,482(0),4.9,2024106798,00666,01059,3
202601020305,2歳新馬,ダート,1700,稍,2,2,ハイネスプラウド,牡2,51.0,★河原田,美浦武井,444(0),31.8,2024106566,01204,01147,8
202601020305,2歳新馬,ダート,1700,稍,3,3,ロンバルディア,牡2,55.0,丹内,美浦伊藤圭,500(0),15.7,2024105349,01091,01023,5
202601020305,2歳新馬,ダート,1700,稍,3,4,ウィナーズクロノ,牡2,55.0,松本,栗東昆,482(0),149.2,2024104203,01191,01044,13
202601020305,2歳新馬,ダート,1700,稍,4,5,フィールザウィル,牝2,55.0,小沢,美浦伊藤大,474(0),17.1,2024107117,01185,01109,6
202601020305,2歳新馬,ダート,1700,稍,4,6,コスモセイント,牡2,55.0,池添,美浦矢嶋,480(0),51.9,2024105875,01032,01202,11
202601020305,2歳新馬,ダート,1700,稍,5,7,フクノブロッサム,牝2,52.0,▲遠藤,美浦竹内,460(0),164.6,2024100211,01218,01152,14
202601020305,2歳新馬,ダート,1700,稍,5,8,テンラッキーロード,牡2,55.0,鮫島駿,栗東高柳大,484(0),8.9,2024106739,01157,01159,4
202601020305,2歳新馬,ダート,1700,稍,6,9,ハリケンライズ,牡2,55.0,石川倭,栗東高柳大,472(0),43.1,2024104323,05534,01159,10
202601020305,2歳新馬,ダート,1700,稍,6,10,ゴーストミステリー,牡2,55.0,横山和,美浦黒岩,504(0),2.2,2024105699,01140,01133,1
202601020305,2歳新馬,ダート,1700,稍,7,11,モントリオール,牡2,55.0,横山武,美浦松尾,490(0),4.7,2024106658,01170,01220,2
202601020305,2歳新馬,ダート,1700,稍,7,12,リュウノタキノボリ,牡2,55.0,横山琉,美浦堀内,500(0),68.8,2024103223,01192,01189,12
202601020305,2歳新馬,ダート,1700,稍,8,13,ルクシエル,牡2,55.0,斎藤,栗東浜田,478(0),28.0,2024107227,01178,01138,7
202601020305,2歳新馬,ダート,1700,稍,8,14,ルボワ,牡2,55.0,北村友,栗東杉山佳,540(0),40.8,2024106761,01102,01178,9
