race_id,race_name,date,surface,distance_m,direction,weather,track_condition,finish_position,waku,horse_number,horse_name,horse_id,sex_age,weight_carried,jockey,jockey_id,time,margin,time_index,time_index_master,start_index,pace_index,last_3f_index,passing_order,last_3f,win_odds,popularity,horse_weight,training_time,trainer_comment,remarks,trainer,trainer_id,owner,prize_money
202550060404,耀山7ハロンC2一,2025-06-04,ダート,1400,右,晴,重,1,6,7,シャッフルガール,2021103202,牝4,55,吉村智洋,05390,1:32.3,,**,-,-,-,-,1-1-1-1,40.6,3.5,2,473(-1),,,,[地]玉垣光章,a02df,近藤克麿,70.0
202550060404,耀山7ハロンC2一,2025-06-04,ダート,1400,右,晴,重,2,8,11,ナムラハカ,2018103015,牡7,57,石堂響,05576,1:33.5,7,**,-,-,-,-,3-4-2-2,41.1,183.4,12,495(-7),,,,[地]長南和宏,05740,永山芳大,28.0
202550060404,耀山7ハロンC2一,2025-06-04,ダート,1400,右,晴,重,3,5,5,ユイノコミチ,2021101459,牡4,58,小牧太,00894,1:34.1,3.1/2,**,-,-,-,-,12-12-10-4,40.5,1.7,1,487(+6),,,,[地]渡瀬寛彰,05744,南新宿商事（株）,17.5
202550060404,耀山7ハロンC2一,2025-06-04,ダート,1400,右,晴,重,4,6,8,ガミラスジャクソン,2017100297,牡8,57,大山真吾,05364,1:34.5,2.1/2,**,-,-,-,-,6-7-5-3,41.9,41.7,7,482(+2),,,,[地]織田誠,a0212,藤井猛,10.5
202550060404,耀山7ハロンC2一,2025-06-04,ダート,1400,右,晴,重,5,7,10,メイショウマサカリ,2018106711,牡7,56,土方颯太,05667,1:34.5,クビ,**,-,-,-,-,8-9-8-10,41.4,31.2,5,480(0),,,,[地]小牧毅,05639,松本好雄,7.0
202550060404,耀山7ハロンC2一,2025-06-04,ダート,1400,右,晴,重,6,2,2,ハギノアグレッシブ,2015103562,セ10,57,大山龍太,05631,1:34.7,1,**,-,-,-,-,11-11-11-11,41.3,30.9,4,487(-4),,,,[地]寺地誠一,a0477,渡辺優磨,
202550060404,耀山7ハロンC2一,2025-06-04,ダート,1400,右,晴,重,7,8,12,コルタード,2019106708,牡6,57,山本咲希,05545,1:34.8,クビ,**,-,-,-,-,10-10-8-9,41.8,57.2,8,482(-7),,,,[地]長倉功,05590,曽和栄司,
202550060404,耀山7ハロンC2一,2025-06-04,ダート,1400,右,晴,重,8,5,6,タガノアウル,2021106011,牡4,57,笹田知宏,05646,1:34.8,クビ,**,-,-,-,-,5-5-6-8,42.1,4.5,3,519(0),,,,[地]新子雅司,05691,八木良司,
202550060404,耀山7ハロンC2一,2025-06-04,ダート,1400,右,晴,重,9,1,1,イロメガネ,2021102438,牡4,57,井上幹太,05522,1:35.2,2.1/2,**,-,-,-,-,6-6-7-7,42.6,93.1,9,448(-3),,,,[地]雑賀伸一,05757,内田玄祥,
202550060404,耀山7ハロンC2一,2025-06-04,ダート,1400,右,晴,重,10,3,3,ニシノウインド,2021102683,牡4,57,大柿一真,05567,1:35.5,1.3/4,**,-,-,-,-,4-3-4-5,43.1,160.1,11,452(+2),,,,[地]山口浩幸,05466,冨田藤男,
202550060404,耀山7ハロンC2一,2025-06-04,ダート,1400,右,晴,重,11,4,4,ナリタアワユキ,2020101638,牝5,55,長谷部駿,05580,1:36.1,3.1/2,**,-,-,-,-,9-8-12-12,42.9,138.4,10,500(+3),,,,[地]田中道夫,05266,（株）さくらコーポ,
202550060404,耀山7ハロンC2一,2025-06-04,ダート,1400,右,晴,重,12,7,9,ルクスデルフィー,2021103937,牝4,55,鴨宮祥行,05597,1:36.3,1.1/4,**,-,-,-,-,2-2-3-6,44.0,35.0,6,447(+4),,,,[地]松平幸秀,05767,（株）ルクス,
