race_id,race_name,date,surface,distance_m,direction,weather,track_condition,finish_position,waku,horse_number,horse_name,horse_id,sex_age,weight_carried,jockey,jockey_id,time,margin,time_index,time_index_master,start_index,pace_index,last_3f_index,passing_order,last_3f,win_odds,popularity,horse_weight,training_time,trainer_comment,remarks,trainer,trainer_id,owner,prize_money
202505010507,3歳1勝クラス,2025-02-15,芝,1400,左,晴,良,1,3,3,シルバーレイン,2022104942,牡3,57,ルメール,05339,1:21.1,,**,**,**,**,**,9-7,33.2,3.0,1,472(+2),,,,[東]萩原清,01017,池谷誠一,800.0
202505010507,3歳1勝クラス,2025-02-15,芝,1400,左,晴,良,2,5,5,ソーダーンライト,2022110034,牝3,55,三浦皇成,01122,1:21.3,1.1/2,**,**,**,**,**,4-4,33.9,13.9,7,440(+10),,,,[東]鹿戸雄一,01097,ゴドルフィン,320.0
202505010507,3歳1勝クラス,2025-02-15,芝,1400,左,晴,良,3,1,1,パワースナッチ,2022105807,牡3,57,津村明秀,01092,1:21.4,1/2,**,**,**,**,**,6-5,33.8,7.5,4,448(+18),,,,[東]武市康男,01089,シルクレーシング,200.0
202505010507,3歳1勝クラス,2025-02-15,芝,1400,左,晴,良,4,6,7,マイネルステラート,2022106818,牡3,57,横山武史,01170,1:21.5,3/4,**,**,**,**,**,1-1,35.9,14.9,8,468(+4),,,,[東]高木登,01088,サラブレッドクラブ・ラフィアン,120.0
202505010507,3歳1勝クラス,2025-02-15,芝,1400,左,晴,良,5,7,10,マキシマムドライブ,2022102794,牡3,57,服部茂史,05286,1:21.6,クビ,**,**,**,**,**,3-3,34.3,10.1,5,534(+10),,,,[地]田中淳司,05630,酒井牧場,80.0
202505010507,3歳1勝クラス,2025-02-15,芝,1400,左,晴,良,6,5,6,ガンマジーティーピ,2022106123,牡3,57,坂井瑠星,01163,1:21.7,1/2,**,**,**,**,**,5-5,34.1,4.6,2,452(-6),,,,[西]渡辺薫彦,01155,ＳＳレーシング,
202505010507,3歳1勝クラス,2025-02-15,芝,1400,左,晴,良,7,7,9,ミクストベリーズ,2022110038,牡3,54,長浜鴻緒,01214,1:21.7,アタマ,**,**,**,**,**,8-7,33.9,32.5,10,484(+2),,,,[東]伊藤圭三,01023,ゴドルフィン,
202505010507,3歳1勝クラス,2025-02-15,芝,1400,左,晴,良,8,8,11,エンドレスサマー,2022104769,牡3,57,江田照男,00689,1:21.8,1/2,**,**,**,**,**,2-2,35.7,16.8,9,522(+16),,,,[東]上原佑紀,01192,フィールドレーシング,
202505010507,3歳1勝クラス,2025-02-15,芝,1400,左,晴,良,9,4,4,コルチェスター,2022104757,牡3,57,戸崎圭太,05386,1:21.9,1,**,**,**,**,**,11-11,33.7,6.8,3,464(+4),,,,[東]尾関知人,01103,ライオンレースホース,
202505010507,3歳1勝クラス,2025-02-15,芝,1400,左,晴,良,10,6,8,シュヴァルボヌール,2022102315,牝3,55,笹川翼,05524,1:22.0,1/2,**,**,**,**,**,11-11,33.8,13.5,6,480(-2),,,,[東]加藤征弘,01059,山本又一郎,
202505010507,3歳1勝クラス,2025-02-15,芝,1400,左,晴,良,11,8,12,フタイテンホイール,2022100286,牝3,54,原優介,01184,1:22.2,1,**,**,**,**,**,10-10,34.1,357.7,12,428(+4),,,,[東]佐藤吉勝,01035,松谷翔太,
202505010507,3歳1勝クラス,2025-02-15,芝,1400,左,晴,良,12,2,2,イノキ,2022100757,牡3,57,菅原明良,01179,1:22.3,1/2,**,**,**,**,**,6-7,34.5,34.8,11,490(+6),,,,[東]岩戸孝樹,01051,小菅誠,
