race_id,race_name,date,surface,distance_m,direction,weather,track_condition,finish_position,waku,horse_number,horse_name,horse_id,sex_age,weight_carried,jockey,jockey_id,time,margin,time_index,time_index_master,start_index,pace_index,last_3f_index,passing_order,last_3f,win_odds,popularity,horse_weight,training_time,trainer_comment,remarks,trainer,trainer_id,owner,prize_money
202544111004,2歳　新馬,2025-11-10,ダート,1200,右,晴,稍重,1,6,6,ハッチン,2023103653,牝2,54,矢野貴之,05380,1:13.8,,**,-,-,-,-,4-4,38.3,5.4,3,475(0),,,,[地]福永敏,05727,杉澤真吾,450.0
202544111004,2歳　新馬,2025-11-10,ダート,1200,右,晴,稍重,2,8,10,タイセイディエティ,2023106036,牝2,54,千田洋,a0277,1:14.4,3,**,-,-,-,-,8-7,37.9,66.5,8,466(0),,,,[地]松浦裕之,05571,田中成奉,180.0
202544111004,2歳　新馬,2025-11-10,ダート,1200,右,晴,稍重,3,3,3,スウィートボム,2023105143,牝2,54,藤田凌,05559,1:14.6,1.1/4,**,-,-,-,-,1-1,39.3,2.1,1,528(0),,,,[地]的場直之,05711,太田匡哉,112.5
202544111004,2歳　新馬,2025-11-10,ダート,1200,右,晴,稍重,4,6,7,ディアワン,2023100965,牝2,54,安藤洋一,05690,1:14.7,1/2,**,-,-,-,-,3-2,39.4,4.2,2,474(0),,,,[地]藤田輝信,05728,飯塚倫尋,67.5
202544111004,2歳　新馬,2025-11-10,ダート,1200,右,晴,稍重,5,8,11,アネラリノ,2023100250,牡2,52,高橋優,a056e,1:16.6,9,**,-,-,-,-,11-11,38.4,91.8,11,518(0),,,,[地]渡辺和雄,05667,谷口凜人,45.0
202544111004,2歳　新馬,2025-11-10,ダート,1200,右,晴,稍重,6,4,4,ピューナー,2023101474,牝2,54,達城龍次,05540,1:16.9,1.3/4,**,-,-,-,-,2-3,41.6,41.8,7,438(0),,,,[地]井上弘之,a01e7,星野壽市,
202544111004,2歳　新馬,2025-11-10,ダート,1200,右,晴,稍重,7,7,9,ディープコンパクト,2023102498,牝2,53,谷内貫太,05650,1:17.0,1/2,**,-,-,-,-,10-10,39.6,87.9,10,415(0),,,,[地]的場直之,05711,酒井孝敏,
202544111004,2歳　新馬,2025-11-10,ダート,1200,右,晴,稍重,8,2,2,ルカドリーマー,2023103147,牝2,54,和田譲治,05399,1:17.0,クビ,**,-,-,-,-,9-9,39.7,84.6,9,478(0),,,,[地]朝倉実,05672,田部井孝夫,
202544111004,2歳　新馬,2025-11-10,ダート,1200,右,晴,稍重,9,1,1,ミドルマン,2023103035,牡2,55,吉井章,05583,1:17.0,ハナ,**,-,-,-,-,6-6,41.0,16.9,6,522(0),,,,[地]吉井竜一,a0379,月舘範行,
202544111004,2歳　新馬,2025-11-10,ダート,1200,右,晴,稍重,10,7,8,タイカン,2023100455,牡2,55,笹川翼,05524,1:18.3,6,**,-,-,-,-,5-5,42.7,10.6,5,435(0),,,,[地]月岡健二,05566,後藤泰彦,
202544111004,2歳　新馬,2025-11-10,ダート,1200,右,晴,稍重,11,5,5,ミュウチャン,2023103990,牝2,54,御神本訓,05404,1:18.8,2.1/2,**,-,-,-,-,7-8,42.6,7.3,4,469(0),,,,[地]米田英世,05674,池田喜吉,
