race_id,race_name,date,surface,distance_m,direction,weather,track_condition,finish_position,waku,horse_number,horse_name,horse_id,sex_age,weight_carried,jockey,jockey_id,time,margin,time_index,time_index_master,start_index,pace_index,last_3f_index,passing_order,last_3f,win_odds,popularity,horse_weight,training_time,trainer_comment,remarks,trainer,trainer_id,owner,prize_money
202543110501,2歳五,2025-11-05,ダート,1200,左,曇,良,1,6,6,オオイシフジノハナ,2023106043,牡2,55,藤本現暉,05590,1:17.4,,**,-,-,-,-,7-6-5,39.1,1.4,1,470(-7),,,,[地]林正人,05436,大石正和,200.0
202543110501,2歳五,2025-11-05,ダート,1200,左,曇,良,2,8,10,ダイセンシリウス,2023101923,牡2,55,矢野貴之,05380,1:17.4,アタマ,**,-,-,-,-,5-3-3,39.3,6.9,3,470(+7),,,,[地]石井勝男,05647,根田喜久雄,80.0
202543110501,2歳五,2025-11-05,ダート,1200,左,曇,良,3,7,9,グリーンアンシェル,2023100336,牝2,54,野畑凌,05630,1:17.8,2,**,-,-,-,-,1-1-1,40.0,142.0,9,417(-3),,,,[地]伊藤滋規,05722,伊藤弘泰,50.0
202543110501,2歳五,2025-11-05,ダート,1200,左,曇,良,4,8,11,リーヴルマン,2023100641,牡2,55,山中悠希,05598,1:18.3,2.1/2,**,-,-,-,-,2-2-2,40.3,20.3,5,500(+8),,,,[地]矢野義幸,05575,本間進,30.0
202543110501,2歳五,2025-11-05,ダート,1200,左,曇,良,5,1,1,ホワイトジェイド,2023106483,牡2,55,福原杏,05595,1:18.5,1,**,-,-,-,-,3-4-4,40.4,5.6,2,473(-6),,,,[地]水野貴史,05788,（有）ビッグレッド,20.0
202543110501,2歳五,2025-11-05,ダート,1200,左,曇,良,6,5,5,マオノハイジ,2023105180,牝2,54,仲野光馬,05618,1:18.6,クビ,**,-,-,-,-,11-10-9,39.4,70.7,7,442(+4),,,,[地]渋谷信博,05714,湯浅健司,
202543110501,2歳五,2025-11-05,ダート,1200,左,曇,良,7,6,7,ムジークヘーレン,2023109068,牝2,54,川島正太,05444,1:18.7,1/2,**,-,-,-,-,8-8-8,40.0,36.2,6,405(-3),,,,[地]岩崎真樹,a0479,梅ケ枝容晃,
202543110501,2歳五,2025-11-05,ダート,1200,左,曇,良,8,2,2,ラジスタンロイヤル,2023100194,牡2,55,木間塚龍,05607,1:19.4,3,**,-,-,-,-,4-5-6,41.1,7.8,4,448(-8),,,,[地]大津剛,a06bd,（株）心頼ＬｏｏＰ,
202543110501,2歳五,2025-11-05,ダート,1200,左,曇,良,9,3,3,タカイチカレン,2023104840,牝2,54,野澤憲彦,05358,1:20.0,3,**,-,-,-,-,6-7-7,41.5,267.5,10,443(+4),,,,[地]阿井正雄,a01c3,高橋一郎,
202543110501,2歳五,2025-11-05,ダート,1200,左,曇,良,10,4,4,ミツゲツ,2023105072,牝2,51,山本大翔,05682,1:20.1,クビ,**,-,-,-,-,9-11-11,40.8,77.9,8,465(+3),,,,[地]佐々木清,05496,内藤好江,
202543110501,2歳五,2025-11-05,ダート,1200,左,曇,良,11,7,8,スタールル,2023104145,牝2,54,半澤慶実,a01f3,1:20.5,2,**,-,-,-,-,10-9-10,41.4,290.4,11,399(0),,,,[地]川村守男,05651,岡本育枝,
