race_id,race_name,date,surface,distance_m,direction,weather,track_condition,finish_position,waku,horse_number,horse_name,horse_id,sex_age,weight_carried,jockey,jockey_id,time,margin,time_index,time_index_master,start_index,pace_index,last_3f_index,passing_order,last_3f,win_odds,popularity,horse_weight,training_time,trainer_comment,remarks,trainer,trainer_id,owner,prize_money
202565123008,ChaiCross賞,2025-12-30,,,,曇,,1,2,2,コウシュハゴーリキ,B201900294,牡6,660,鈴木恵介,B0035,01:54.1,,,-,-,-,-,2-6-4,34.1,9.0,5,1079(-9),,,**,[地]大友栄人,B0043,竹内宏人,31.0
202565123008,ChaiCross賞,2025-12-30,,,,曇,,2,5,5,サカノキンザン,B201800278,牡7,660,船山蔵人,B0054,01:55.5,1.4,,-,-,-,-,2-2-6,30.5,4.7,2,1012(+2),,,**,[地]田上忠夫,B0023,（株）大阪畜産,11.4
202565123008,ChaiCross賞,2025-12-30,,,,曇,,3,3,3,トカチリキ,B201800196,牡7,660,赤塚健仁,B0063,01:55.7,1.6,,-,-,-,-,2-5-5,34.7,2.4,1,972(-2),,,**,[地]西邑春夫,B0033,大熊金八,6.5
202565123008,ChaiCross賞,2025-12-30,,,,曇,,4,8,8,イナズマタイガー,B201600006,牡9,650,阿部優哉,B0114,01:59.4,5.3,,-,-,-,-,2-2-2,40.4,4.7,3,1055(0),,,**,[地]坂本東一,B0055,氏原守男,3.4
202565123008,ChaiCross賞,2025-12-30,,,,曇,,5,7,7,シュゲンドウ,B202000248,牡5,660,長澤幸太,B0056,02:00.7,6.6,,-,-,-,-,7-7-7,33.7,28.3,7,1074(0),,,**,[地]服部義幸,B0002,鈴木正浩,1.8
202565123008,ChaiCross賞,2025-12-30,,,,曇,,6,1,1,シロガネセンプー,B201700163,牡8,660,中村太陽,B0077,02:03.2,9.1,,-,-,-,-,2-2-2,44.2,5.3,4,1028(-6),,,**,[地]久田守,B0003,尾ケ瀬浩二,
202565123008,ChaiCross賞,2025-12-30,,,,曇,,7,4,4,クシロオオジョ,B201800277,牝7,630,吉田理人,B0116,02:05.6,11.5,,-,-,-,-,1-1-1,47.6,14.5,6,1126(+8),,,**,[地]久田守,B0003,尾ケ瀬浩二,
202565123008,ChaiCross賞,2025-12-30,,,,曇,,8,6,6,サカノキヨマル,B201900080,牡6,660,松本秀克,B0040,02:20.2,26.1,,-,-,-,-,8-8-8,40.2,60.1,8,1015(-3),,,**,[地]田上忠夫,B0023,（株）大阪畜産,
