race_id,bet_type,combination,amount,popularity
202301020112,単勝,11,580,3
202301020112,複勝,11,150,3
202301020112,複勝,6,160,4
202301020112,複勝,3,120,1
202301020112,複勝,16,200,5
202301020112,枠連,3-6,2170,10
202301020112,馬連,6-11,2720,11
202301020112,ワイド,6-11,620,11
202301020112,ワイド,3-11,290,2
202301020112,ワイド,11-16,490,7
202301020112,ワイド,3-6,390,4
202301020112,ワイド,6-16,940,21
202301020112,馬単,11-6,4110,13
202301020112,三連複,3-6-11,1600,4
202301020112,三連複,6-11-16,4890,31
202301020112,三連単,11-6-3,10360,39
202301020112,三連単,11-6-16,24480,143
