race_id,bet_type,combination,amount,popularity
202605020609,単勝,4,1390,6
202605020609,複勝,4,190,5
202605020609,複勝,8,140,2
202605020609,複勝,7,160,4
202605020609,複勝,9,480,8
202605020609,枠連,4-8,2230,10
202605020609,馬連,4-8,2640,11
202605020609,ワイド,4-8,490,12
202605020609,ワイド,4-7,530,13
202605020609,ワイド,4-9,2650,30
202605020609,ワイド,7-8,250,5
202605020609,ワイド,8-9,670,14
202605020609,馬単,4-8,7580,28
202605020609,三連複,4-7-8,1810,13
202605020609,三連複,4-8-9,7880,39
202605020609,三連単,4-8-7,19350,129
202605020609,三連単,4-8-9,63630,239
