race_id,bet_type,combination,amount,popularity
202451012308,単勝,8,180,1
202451012308,複勝,8,110,1
202451012308,複勝,7,150,5
202451012308,複勝,1,380,8
202451012308,複勝,2,120,2
202451012308,枠連,7-7,960,5
202451012308,馬連,7-8,1520,4
202451012308,ワイド,7-8,320,9
202451012308,ワイド,1-8,910,22
202451012308,ワイド,2-8,160,1
202451012308,ワイド,1-7,1190,25
202451012308,ワイド,2-7,280,6
202451012308,馬単,8-7,1860,5
202451012308,三連複,1-7-8,4820,36
202451012308,三連複,2-7-8,620,2
202451012308,三連単,8-7-1,16900,133
202451012308,三連単,8-7-2,2650,8
