race_id,bet_type,combination,amount,popularity
202550011603,単勝,8,140,1
202550011603,複勝,8,120,1
202550011603,複勝,1,180,3
202550011603,複勝,5,250,7
202550011603,複勝,7,280,8
202550011603,枠連,1-6,570,2
202550011603,馬連,1-8,500,2
202550011603,ワイド,1-8,170,2
202550011603,ワイド,5-8,400,7
202550011603,ワイド,7-8,540,10
202550011603,ワイド,1-5,750,17
202550011603,ワイド,1-7,1280,21
202550011603,馬単,8-1,740,3
202550011603,三連複,1-5-8,1180,8
202550011603,三連複,1-7-8,1610,11
202550011603,三連単,8-1-5,3200,17
202550011603,三連単,8-1-7,4780,27
