race_id,bet_type,combination,amount,popularity
202465010203,単勝,1,980,7
202465010203,複勝,1,200,7
202465010203,複勝,5,130,2
202465010203,複勝,2,160,3
202465010203,複勝,9,170,4
202465010203,枠連,1-5,1920,8
202465010203,馬連,1-5,1700,6
202465010203,ワイド,1-5,400,9
202465010203,ワイド,1-2,670,18
202465010203,ワイド,1-9,940,27
202465010203,ワイド,2-5,290,3
202465010203,ワイド,5-9,380,8
202465010203,馬単,1-5,3820,15
202465010203,三連複,1-2-5,1870,12
202465010203,三連複,1-5-9,2550,23
202465010203,三連単,1-5-2,11670,73
202465010203,三連単,1-5-9,16050,123
