race_id,bet_type,combination,amount,popularity
202543031407,単勝,8,310,1
202543031407,複勝,8,190,4
202543031407,複勝,10,1590,10
202543031407,複勝,2,370,7
202543031407,複勝,4,1150,9
202543031407,枠連,6-7,480,2
202543031407,馬連,8-10,9870,27
202543031407,ワイド,8-10,1280,21
202543031407,ワイド,2-8,760,17
202543031407,ワイド,4-8,1730,25
202543031407,ワイド,2-10,6760,53
202543031407,ワイド,4-10,8320,57
202543031407,馬単,8-10,14270,43
202543031407,三連複,2-8-10,17650,85
202543031407,三連複,4-8-10,23580,101
202543031407,三連単,8-10-2,67150,348
202543031407,三連単,8-10-4,120040,496
