race_id,bet_type,combination,amount,popularity
202609010610,単勝,1,2390,9
202609010610,複勝,1,700,9
202609010610,複勝,6,1080,11
202609010610,複勝,11,520,7
202609010610,枠連,1-4,7870,28
202609010610,枠連,1-7,8770,29
202609010610,馬連,1-6,22670,71
202609010610,馬連,1-11,16010,63
202609010610,ワイド,1-6,11860,71
202609010610,ワイド,1-11,7970,64
202609010610,ワイド,6-11,7160,59
202609010610,馬単,1-6,32460,124
202609010610,馬単,1-11,32610,125
202609010610,三連複,1-6-11,200190,261
202609010610,三連単,1-6-11,1236180,1885
202609010610,三連単,1-11-6,1194510,1871
