race_id,bet_type,combination,amount,popularity
202510011003,単勝,7,240,1
202510011003,複勝,7,120,1
202510011003,複勝,4,200,3
202510011003,複勝,5,490,10
202510011003,複勝,6,430,9
202510011003,枠連,3-5,1160,4
202510011003,馬連,4-7,740,3
202510011003,ワイド,4-7,250,3
202510011003,ワイド,5-7,870,17
202510011003,ワイド,6-7,720,15
202510011003,ワイド,4-5,2550,38
202510011003,ワイド,4-6,1730,26
202510011003,馬単,7-4,1390,4
202510011003,三連複,4-5-7,3540,25
202510011003,三連複,4-6-7,2670,17
202510011003,三連単,7-4-5,10410,58
202510011003,三連単,7-4-6,9750,52
