race_id,bet_type,combination,amount,popularity
202443030406,単勝,4,110,1
202443030406,複勝,4,100,1
202443030406,複勝,12,350,8
202443030406,複勝,11,170,4
202443030406,複勝,14,240,6
202443030406,枠連,3-7,490,3
202443030406,馬連,4-12,1470,7
202443030406,ワイド,4-12,400,8
202443030406,ワイド,4-11,190,2
202443030406,ワイド,4-14,340,6
202443030406,ワイド,11-12,1810,29
202443030406,ワイド,12-14,3760,47
202443030406,馬単,4-12,1410,6
202443030406,三連複,4-11-12,1630,11
202443030406,三連複,4-12-14,3820,29
202443030406,三連単,4-12-11,4240,27
202443030406,三連単,4-12-14,8970,63
