race_id,bet_type,combination,amount,popularity
202307040210,単勝,9,210,1
202307040210,複勝,9,110,1
202307040210,複勝,16,180,4
202307040210,複勝,10,160,3
202307040210,複勝,12,290,7
202307040210,枠連,5-8,690,2
202307040210,馬連,9-16,920,3
202307040210,ワイド,9-16,310,3
202307040210,ワイド,9-10,270,2
202307040210,ワイド,9-12,550,9
202307040210,ワイド,10-16,720,12
202307040210,ワイド,12-16,1510,27
202307040210,馬単,9-16,1370,3
202307040210,三連複,9-10-16,1440,4
202307040210,三連複,9-12-16,3060,15
202307040210,三連単,9-16-10,4040,8
202307040210,三連単,9-16-12,10440,41
