race_id,bet_type,combination,amount,popularity
202504040207,単勝,16,960,5
202504040207,複勝,16,270,4
202504040207,複勝,2,440,6
202504040207,複勝,4,260,3
202504040207,枠連,1-8,2220,23
202504040207,枠連,2-8,1390,12
202504040207,馬連,2-16,3580,27
202504040207,馬連,4-16,1760,11
202504040207,ワイド,2-16,2480,30
202504040207,ワイド,4-16,1130,8
202504040207,ワイド,2-4,1450,13
202504040207,馬単,16-2,7360,55
202504040207,馬単,16-4,3500,22
202504040207,三連複,2-4-16,13860,43
202504040207,三連単,16-2-4,47500,298
202504040207,三連単,16-4-2,41170,252
