race_id,bet_type,combination,amount,popularity
202347080303,単勝,8,250,1
202347080303,複勝,8,110,2
202347080303,複勝,9,140,5
202347080303,複勝,1,110,1
202347080303,複勝,4,140,6
202347080303,枠連,7-8,670,3
202347080303,馬連,8-9,880,3
202347080303,ワイド,8-9,240,5
202347080303,ワイド,1-8,200,1
202347080303,ワイド,4-8,270,8
202347080303,ワイド,1-9,250,6
202347080303,ワイド,4-9,430,13
202347080303,馬単,8-9,1530,3
202347080303,三連複,1-8-9,620,3
202347080303,三連複,4-8-9,940,5
202347080303,三連単,8-9-1,2660,8
202347080303,三連単,8-9-4,4260,25
