race_id,bet_type,combination,amount,popularity
202430061207,単勝,7,1510,6
202430061207,複勝,7,200,6
202430061207,複勝,9,200,5
202430061207,複勝,8,120,1
202430061207,複勝,12,220,7
202430061207,枠連,6-7,990,2
202430061207,馬連,7-9,4580,18
202430061207,ワイド,7-9,1080,18
202430061207,ワイド,7-8,340,4
202430061207,ワイド,7-12,1590,28
202430061207,ワイド,8-9,370,5
202430061207,ワイド,9-12,1950,32
202430061207,馬単,7-9,10560,34
202430061207,三連複,7-8-9,1970,9
202430061207,三連複,7-9-12,8340,59
202430061207,三連単,7-9-8,22090,149
202430061207,三連単,7-9-12,56980,356
