race_id,bet_type,combination,amount,popularity
202508040111,単勝,6,9460,16
202508040111,複勝,6,840,15
202508040111,複勝,1,180,4
202508040111,複勝,4,120,1
202508040111,複勝,10,150,2
202508040111,枠連,1-3,7940,25
202508040111,馬連,1-6,30250,70
202508040111,ワイド,1-6,3840,68
202508040111,ワイド,4-6,1910,40
202508040111,ワイド,6-10,3190,56
202508040111,ワイド,1-4,320,3
202508040111,ワイド,1-10,570,7
202508040111,馬単,6-1,98570,180
202508040111,三連複,1-4-6,8610,58
202508040111,三連複,1-6-10,19500,123
202508040111,三連単,6-1-4,170610,953
202508040111,三連単,6-1-10,283360,1339
