race_id,bet_type,combination,amount,popularity
202406010503,単勝,15,460,3
202406010503,複勝,15,120,3
202406010503,複勝,4,580,10
202406010503,複勝,7,110,1
202406010503,複勝,9,110,2
202406010503,枠連,2-8,1820,7
202406010503,馬連,4-15,16230,29
202406010503,ワイド,4-15,1920,33
202406010503,ワイド,7-15,170,1
202406010503,ワイド,9-15,180,2
202406010503,ワイド,4-7,1590,26
202406010503,ワイド,4-9,1800,30
202406010503,馬単,15-4,26160,47
202406010503,三連複,4-7-15,5690,31
202406010503,三連複,4-9-15,6140,32
202406010503,三連単,15-4-7,49570,231
202406010503,三連単,15-4-9,52380,243
