race_id,bet_type,combination,amount,popularity
202444032108,単勝,11,820,5
202444032108,複勝,11,230,5
202444032108,複勝,6,510,8
202444032108,複勝,13,660,9
202444032108,枠連,4-7,1200,11
202444032108,枠連,7-8,490,6
202444032108,馬連,6-11,3650,30
202444032108,馬連,11-13,2730,26
202444032108,ワイド,6-11,2190,30
202444032108,ワイド,11-13,1460,21
202444032108,ワイド,6-13,5700,41
202444032108,馬単,11-6,6720,57
202444032108,馬単,11-13,6200,53
202444032108,三連複,6-11-13,45140,98
202444032108,三連単,11-6-13,110430,532
202444032108,三連単,11-13-6,95230,496
