race_id,bet_type,combination,amount,popularity
202603010602,単勝,12,1120,6
202603010602,複勝,12,250,6
202603010602,複勝,4,140,3
202603010602,複勝,9,130,2
202603010602,複勝,14,240,5
202603010602,枠連,2-6,790,3
202603010602,馬連,4-12,2620,10
202603010602,ワイド,4-12,450,8
202603010602,ワイド,9-12,510,11
202603010602,ワイド,12-14,890,17
202603010602,ワイド,4-9,270,3
202603010602,ワイド,4-14,510,10
202603010602,馬単,12-4,5330,23
202603010602,三連複,4-9-12,1390,6
202603010602,三連複,4-12-14,3220,23
202603010602,三連単,12-4-9,10320,63
202603010602,三連単,12-4-14,20220,139
