race_id,bet_type,combination,amount,popularity
202530100212,単勝,9,380,2
202530100212,複勝,9,130,2
202530100212,複勝,10,110,1
202530100212,複勝,1,390,9
202530100212,複勝,13,180,6
202530100212,枠連,6-6,650,2
202530100212,馬連,9-10,710,1
202530100212,ワイド,9-10,210,1
202530100212,ワイド,1-9,1140,20
202530100212,ワイド,9-13,430,8
202530100212,ワイド,1-10,1250,23
202530100212,ワイド,10-13,350,6
202530100212,馬単,9-10,1450,1
202530100212,三連複,1-9-10,2600,16
202530100212,三連複,9-10-13,1210,6
202530100212,三連単,9-10-1,9070,49
202530100212,三連単,9-10-13,5160,21
