race_id,bet_type,combination,amount,popularity
202409020802,単勝,7,230,1
202409020802,複勝,7,110,1
202409020802,複勝,10,120,3
202409020802,複勝,4,170,6
202409020802,複勝,13,110,2
202409020802,枠連,4-6,650,2
202409020802,馬連,7-10,750,2
202409020802,ワイド,7-10,180,1
202409020802,ワイド,4-7,350,11
202409020802,ワイド,7-13,200,2
202409020802,ワイド,4-10,540,12
202409020802,ワイド,10-13,300,5
202409020802,馬単,7-10,1130,2
202409020802,三連複,4-7-10,1180,9
202409020802,三連複,7-10-13,570,1
202409020802,三連単,7-10-4,3450,10
202409020802,三連単,7-10-13,2090,2
