race_id,bet_type,combination,amount,popularity
202445090208,単勝,7,410,2
202445090208,複勝,7,120,1
202445090208,複勝,5,130,3
202445090208,複勝,2,220,7
202445090208,複勝,6,210,6
202445090208,枠連,5-7,400,1
202445090208,馬連,5-7,650,2
202445090208,ワイド,5-7,240,3
202445090208,ワイド,2-7,400,8
202445090208,ワイド,6-7,420,9
202445090208,ワイド,2-5,570,15
202445090208,ワイド,5-6,350,6
202445090208,馬単,7-5,1550,3
202445090208,三連複,2-5-7,1340,9
202445090208,三連複,5-6-7,810,3
202445090208,三連単,7-5-2,6540,34
202445090208,三連単,7-5-6,4430,15
