race_id,bet_type,combination,amount,popularity
202450010409,単勝,4,230,1
202450010409,複勝,4,130,4
202450010409,複勝,6,120,2
202450010409,複勝,8,130,3
202450010409,複勝,11,290,6
202450010409,枠連,4-5,630,3
202450010409,馬連,4-6,560,2
202450010409,ワイド,4-6,170,2
202450010409,ワイド,4-8,180,3
202450010409,ワイド,4-11,460,11
202450010409,ワイド,6-8,290,6
202450010409,ワイド,6-11,620,13
202450010409,馬単,4-6,1040,2
202450010409,三連複,4-6-8,540,3
202450010409,三連複,4-6-11,1400,9
202450010409,三連単,4-6-8,1720,6
202450010409,三連単,4-6-11,5170,28
