race_id,bet_type,combination,amount,popularity
202665030908,単勝,6,210,1
202665030908,複勝,6,130,2
202665030908,複勝,3,170,5
202665030908,複勝,4,260,7
202665030908,複勝,9,170,4
202665030908,枠連,3-6,1160,5
202665030908,馬連,3-6,1140,5
202665030908,ワイド,3-6,240,4
202665030908,ワイド,4-6,300,7
202665030908,ワイド,6-9,290,6
202665030908,ワイド,3-4,540,13
202665030908,ワイド,3-9,560,15
202665030908,馬単,6-3,1820,6
202665030908,三連複,3-4-6,1560,15
202665030908,三連複,3-6-9,1100,8
202665030908,三連単,6-3-4,7220,58
202665030908,三連単,6-3-9,4460,23
