race_id,bet_type,combination,amount,popularity
202410010505,単勝,7,160,1
202410010505,複勝,7,110,1
202410010505,複勝,4,120,2
202410010505,複勝,5,190,4
202410010505,複勝,11,400,10
202410010505,枠連,4-5,280,1
202410010505,馬連,4-7,300,1
202410010505,ワイド,4-7,130,1
202410010505,ワイド,5-7,320,4
202410010505,ワイド,7-11,600,16
202410010505,ワイド,4-5,480,10
202410010505,ワイド,4-11,990,21
202410010505,馬単,7-4,510,1
202410010505,三連複,4-5-7,840,5
202410010505,三連複,4-7-11,1870,13
202410010505,三連単,7-4-5,2090,5
202410010505,三連単,7-4-11,4470,24
