race_id,bet_type,combination,amount,popularity
202445010106,単勝,10,2430,5
202445010106,複勝,10,220,6
202445010106,複勝,4,100,1
202445010106,複勝,9,130,3
202445010106,複勝,12,140,4
202445010106,枠連,4-7,280,1
202445010106,馬連,4-10,2290,8
202445010106,ワイド,4-10,360,7
202445010106,ワイド,9-10,420,9
202445010106,ワイド,10-12,730,20
202445010106,ワイド,4-9,140,1
202445010106,ワイド,4-12,200,4
202445010106,馬単,10-4,7430,20
202445010106,三連複,4-9-10,950,5
202445010106,三連複,4-10-12,1760,13
202445010106,三連単,10-4-9,13740,81
202445010106,三連単,10-4-12,27010,154
