race_id,bet_type,combination,amount,popularity
202544011608,単勝,2,260,1
202544011608,複勝,2,100,1
202544011608,複勝,6,120,3
202544011608,複勝,5,130,5
202544011608,複勝,10,100,2
202544011608,枠連,2-6,1080,4
202544011608,馬連,2-6,1130,5
202544011608,ワイド,2-6,240,6
202544011608,ワイド,2-5,210,3
202544011608,ワイド,2-10,160,1
202544011608,ワイド,5-6,370,11
202544011608,ワイド,6-10,210,2
202544011608,馬単,2-6,1470,5
202544011608,三連複,2-5-6,1170,10
202544011608,三連複,2-6-10,570,2
202544011608,三連単,2-6-5,3900,19
202544011608,三連単,2-6-10,2980,11
