race_id,bet_type,combination,amount,popularity
202550052211,単勝,2,400,2
202550052211,複勝,2,120,1
202550052211,複勝,5,120,2
202550052211,複勝,6,4080,12
202550052211,複勝,9,490,9
202550052211,枠連,2-5,460,1
202550052211,馬連,2-5,310,1
202550052211,ワイド,2-5,160,1
202550052211,ワイド,2-6,8200,46
202550052211,ワイド,2-9,780,20
202550052211,ワイド,5-6,9080,48
202550052211,ワイド,5-9,700,17
202550052211,馬単,2-5,690,2
202550052211,三連複,2-5-6,21130,70
202550052211,三連複,2-5-9,1350,8
202550052211,三連単,2-5-6,75330,260
202550052211,三連単,2-5-9,4740,32
