race_id,bet_type,combination,amount,popularity
202301010403,単勝,6,2980,9
202301010403,複勝,6,630,9
202301010403,複勝,9,420,8
202301010403,複勝,1,310,5
202301010403,複勝,13,210,3
202301010403,枠連,4-6,1510,6
202301010403,馬連,6-9,24470,44
202301010403,ワイド,6-9,3540,44
202301010403,ワイド,1-6,2270,36
202301010403,ワイド,6-13,2320,37
202301010403,ワイド,1-9,1400,27
202301010403,ワイド,9-13,1170,23
202301010403,馬単,6-9,47140,92
202301010403,三連複,1-6-9,28640,127
202301010403,三連複,6-9-13,24010,116
202301010403,三連単,6-9-1,258640,892
202301010403,三連単,6-9-13,175850,731
