race_id,bet_type,combination,amount,popularity
202550111806,単勝,7,920,5
202550111806,複勝,7,220,6
202550111806,複勝,8,140,3
202550111806,複勝,2,240,7
202550111806,複勝,10,180,4
202550111806,枠連,7-7,1800,7
202550111806,馬連,7-8,1670,7
202550111806,ワイド,7-8,430,10
202550111806,ワイド,2-7,1230,23
202550111806,ワイド,7-10,610,18
202550111806,ワイド,2-8,310,6
202550111806,ワイド,8-10,240,3
202550111806,馬単,7-8,4840,21
202550111806,三連複,2-7-8,2480,20
202550111806,三連複,7-8-10,1400,13
202550111806,三連単,7-8-2,17120,134
202550111806,三連単,7-8-10,7980,61
