race_id,bet_type,combination,amount,popularity
202535111005,単勝,2,1230,4
202535111005,複勝,2,150,3
202535111005,複勝,7,240,8
202535111005,複勝,4,240,9
202535111005,複勝,6,100,1
202535111005,枠連,2-6,610,2
202535111005,馬連,2-7,4370,14
202535111005,ワイド,2-7,650,16
202535111005,ワイド,2-4,980,21
202535111005,ワイド,2-6,230,3
202535111005,ワイド,4-7,1180,26
202535111005,ワイド,6-7,230,4
202535111005,馬単,2-7,7220,18
202535111005,三連複,2-4-7,8730,50
202535111005,三連複,2-6-7,980,6
202535111005,三連単,2-7-4,50320,239
202535111005,三連単,2-7-6,15750,96
