race_id,bet_type,combination,amount,popularity
202536032510,単勝,11,1580,6
202536032510,複勝,11,610,8
202536032510,複勝,4,250,4
202536032510,複勝,7,230,3
202536032510,枠連,4-8,1150,10
202536032510,枠連,6-8,570,5
202536032510,馬連,4-11,1200,9
202536032510,馬連,7-11,2550,20
202536032510,ワイド,4-11,1130,15
202536032510,ワイド,7-11,1330,18
202536032510,ワイド,4-7,480,6
202536032510,馬単,11-4,3750,31
202536032510,馬単,11-7,7200,52
202536032510,三連複,4-7-11,5580,21
202536032510,三連単,11-4-7,25570,201
202536032510,三連単,11-7-4,39500,291
