race_id,bet_type,combination,amount,popularity
202408010201,単勝,9,640,4
202408010201,複勝,9,150,3
202408010201,複勝,8,130,1
202408010201,複勝,7,1000,9
202408010201,複勝,15,1300,11
202408010201,枠連,4-5,1030,4
202408010201,馬連,8-9,1010,3
202408010201,ワイド,8-9,300,3
202408010201,ワイド,7-9,2750,33
202408010201,ワイド,9-15,4860,43
202408010201,ワイド,7-8,2600,31
202408010201,ワイド,8-15,2300,27
202408010201,馬単,9-8,2590,9
202408010201,三連複,7-8-9,11360,54
202408010201,三連複,8-9-15,12330,57
202408010201,三連単,9-8-7,60250,291
202408010201,三連単,9-8-15,58990,284
